feature,exclusive_in_n_genes
11876,5
12347,5
6349,4
10558,3
31095,3
27948,2
24632,1
8391,1
9386,1
25772,1
1359,1
18075,1
27113,1
3407,1
0,0
8195,0
24580,0
16390,0
7,0
8200,0
16391,0
16393,0
24583,0
24586,0
24589,0
8210,0
8211,0
20,0
8212,0
16402,0
16406,0
24597,0
24599,0
16410,0
8221,0
8222,0
8223,0
8225,0
34,0
35,0
16417,0
24610,0
24611,0
8235,0
24619,0
16433,0
16437,0
24629,0
24633,0
16442,0
63,0
16448,0
24641,0
66,0
16452,0
8261,0
16453,0
8264,0
73,0
16458,0
8267,0
24656,0
16469,0
16470,0
24661,0
8280,0
24664,0
91,0
16475,0
8286,0
8287,0
8291,0
100,0
102,0
24678,0
8297,0
106,0
107,0
16495,0
24688,0
16497,0
16499,0
116,0
8308,0
8310,0
24697,0
24701,0
8317,0
16511,0
8321,0
8322,0
131,0
24705,0
8326,0
24711,0
8331,0
8332,0
142,0
8335,0
144,0
145,0
146,0
8337,0
16528,0
149,0
16532,0
24724,0
8346,0
24730,0
8348,0
157,0
8349,0
16541,0
24734,0
16545,0
24739,0
165,0
8358,0
8359,0
168,0
169,0
8361,0
16550,0
16555,0
16557,0
24750,0
175,0
8369,0
8371,0
180,0
8372,0
16566,0
183,0
8377,0
16571,0
16572,0
24766,0
16577,0
24769,0
196,0
197,0
200,0
8392,0
8393,0
209,0
16593,0
24787,0
8404,0
16597,0
16600,0
220,0
24799,0
8416,0
8421,0
16614,0
8425,0
16617,0
236,0
237,0
16620,0
24816,0
24817,0
24821,0
8438,0
8440,0
249,0
24826,0
253,0
8447,0
8449,0
8450,0
24834,0
266,0
8464,0
8468,0
16660,0
279,0
281,0
8473,0
24858,0
16670,0
291,0
16676,0
24868,0
294,0
8492,0
302,0
305,0
16690,0
24883,0
310,0
313,0
16698,0
24890,0
321,0
16705,0
24897,0
16708,0
8518,0
16710,0
16712,0
24903,0
330,0
8524,0
16721,0
16723,0
16729,0
16732,0
16733,0
350,0
353,0
16737,0
8547,0
16742,0
359,0
8551,0
24942,0
8562,0
24951,0
8568,0
377,0
24955,0
24957,0
24959,0
24960,0
8577,0
8583,0
16777,0
16778,0
24970,0
24971,0
8590,0
8591,0
24975,0
24976,0
16787,0
24982,0
16793,0
16795,0
16796,0
413,0
16799,0
24993,0
25000,0
425,0
16810,0
8619,0
25003,0
16813,0
16814,0
8623,0
8627,0
25013,0
8631,0
25018,0
443,0
25021,0
25022,0
447,0
451,0
25028,0
8649,0
8653,0
462,0
16845,0
8657,0
25041,0
16375,0
469,0
16857,0
475,0
8667,0
25052,0
16865,0
8675,0
485,0
25061,0
487,0
25064,0
8682,0
16875,0
16878,0
25070,0
496,0
497,0
498,0
8688,0
8691,0
8692,0
25075,0
16887,0
16889,0
509,0
25086,0
