feature,excl_in_n_genes,min_enr,mean_enr,COL4A1_n_in,COL4A1_n_out,COL4A1_enr,COL4A2_n_in,COL4A2_n_out,COL4A2_enr,COL4A3_n_in,COL4A3_n_out,COL4A3_enr,COL4A4_n_in,COL4A4_n_out,COL4A4_enr,COL4A5_n_in,COL4A5_n_out,COL4A5_enr,COL4A6_n_in,COL4A6_n_out,COL4A6_enr
11876,5,1000.0,1051.073,46,0,1000.0,37,1,1306.44,14,0,1000.0,2,0,1000.0,36,0,1000.0,41,0,1000.0
9386,1,275.877,714.0,66,0,1000.0,50,6,294.24,29,1,1039.69,33,3,685.12,70,2,989.07,53,15,275.88
18111,0,240.203,4180.033,126,3,512.12,352,3,4142.94,36,4,322.66,315,2,9809.7,17,2,240.2,515,4,10052.58
6349,4,195.092,752.146,16,1,195.09,9,1,317.78,1,0,1000.0,1,0,1000.0,10,0,1000.0,9,0,1000.0
12347,5,141.237,856.873,7,0,1000.0,4,1,141.24,7,0,1000.0,3,0,1000.0,6,0,1000.0,7,0,1000.0
27948,2,71.703,427.658,6,1,73.16,9,0,1000.0,2,1,71.7,3,1,186.85,1,0,1000.0,6,2,234.23
3118,0,48.773,148.876,60,15,48.77,54,22,86.67,56,7,286.81,79,16,307.53,58,17,96.41,67,78,67.07
31095,3,46.174,533.392,14,0,1000.0,17,13,46.17,40,0,1000.0,20,0,1000.0,6,2,84.78,16,18,69.4
20512,0,39.955,138.95,64,4,195.09,43,38,39.96,62,17,130.75,36,17,131.9,52,6,244.91,35,30,91.09
27113,1,39.628,288.502,13,4,39.63,10,3,117.7,7,1,250.96,6,0,1000.0,7,4,49.45,14,4,273.27
30847,0,38.519,187.733,66,2,402.38,60,55,38.52,94,74,45.54,70,15,290.66,66,8,233.14,61,41,116.17
23834,0,35.309,144.122,14,4,42.68,8,8,35.31,7,1,250.96,2,1,124.57,14,4,98.91,8,2,312.31
3407,1,34.701,221.202,6,0,1000.0,12,7,60.53,3,2,53.78,3,2,93.43,3,1,84.78,8,18,34.7
11662,0,31.792,50.152,9,3,36.58,8,6,47.08,9,6,53.78,9,9,62.28,9,8,31.79,8,9,69.4
29833,0,31.354,122.624,18,7,31.35,19,6,111.81,22,7,112.68,41,9,283.74,15,7,60.56,33,19,135.61
91,0,30.483,72.17,5,2,30.48,5,4,44.14,9,2,161.33,5,3,103.81,4,2,56.52,8,17,36.74
16337,0,28.434,175.694,669,154,52.97,435,57,269.46,74,27,98.26,21,46,28.43,778,124,177.3,630,115,427.73
18282,0,24.668,61.488,49,24,24.89,51,73,24.67,68,21,116.09,44,25,109.62,54,51,29.92,40,49,63.74
32266,0,24.652,62.623,46,15,37.39,55,48,40.46,37,10,132.65,34,33,64.17,41,47,24.65,46,47,76.42
25018,0,24.638,327.879,2306,143,196.63,1196,1714,24.64,261,37,252.9,819,139,366.98,1150,59,550.82,1680,228,575.31
25881,0,24.387,76.412,14,7,24.39,17,6,100.04,13,9,51.79,16,7,142.36,12,5,67.82,12,13,72.07
16793,0,22.064,686.703,38,21,22.06,31,13,84.2,27,40,24.2,44,34,80.6,28,2,395.63,45,1,3513.52
11206,0,19.306,44.185,19,12,19.31,20,25,28.25,22,19,41.51,14,33,26.42,17,5,96.08,24,35,53.54
15815,0,18.839,104.016,15,1,182.9,10,2,176.55,8,5,57.36,6,3,124.57,12,18,18.84,9,11,63.88
22548,0,16.028,30.865,82,29,34.48,54,40,47.67,52,58,32.14,38,86,27.52,76,134,16.03,55,157,27.35
17344,0,16.019,34.797,67,51,16.02,93,173,18.98,49,49,35.85,38,42,56.35,80,88,25.69,68,95,55.89
15763,0,15.654,53.699,95,74,15.65,111,159,24.65,72,44,58.67,88,47,116.62,83,129,18.18,94,83,88.43
5149,0,15.571,49.44,11,1,134.13,7,7,35.31,4,7,20.49,2,8,15.57,6,7,24.22,6,7,66.92
19957,0,15.571,41.927,8,1,97.55,5,3,58.85,6,7,30.73,2,8,15.57,6,9,18.84,5,13,30.03
12632,0,15.414,73.992,67,53,15.41,68,82,29.28,33,18,65.73,66,24,171.28,41,17,68.15,47,39,94.09
1407,0,15.057,129.965,20,5,48.77,62,6,364.86,12,6,71.7,28,13,134.15,478,93,145.25,1170,6067,15.06
1847,0,13.58,34.948,25,22,13.86,10,26,13.58,6,9,23.9,15,13,71.87,7,12,16.48,26,29,70.0
10185,0,13.564,27.684,13,11,14.41,11,9,43.16,7,12,20.91,5,8,38.93,12,25,13.56,9,20,35.14
30199,0,13.548,47.169,10,9,13.55,9,8,39.72,8,7,40.97,8,4,124.57,7,6,32.97,8,20,31.23
27966,0,13.543,28.144,41,26,19.23,28,73,13.54,32,70,16.39,29,35,51.61,24,46,14.74,41,60,53.35
15595,0,13.416,33.14,49,17,35.15,57,36,55.91,29,21,49.51,33,94,21.87,47,99,13.42,43,146,23.0
9304,0,13.037,34.292,9,7,15.68,10,6,58.85,8,22,13.04,11,11,62.28,7,5,39.56,9,43,16.34
3359,0,13.009,43.64,15,11,16.63,14,38,13.01,28,13,77.22,46,25,114.6,11,20,15.54,21,66,24.84
18515,0,12.845,127.508,12,1,146.32,9,7,45.4,8,1,286.81,10,3,207.61,10,22,12.85,11,13,66.07
16670,0,12.193,28.648,112,112,12.19,57,111,18.13,95,59,57.73,47,143,20.47,72,141,14.43,89,142,48.94
26070,0,12.111,24.396,12,10,14.63,10,22,16.05,7,15,16.73,7,12,36.33,9,21,12.11,11,17,50.52
1109,0,11.304,17.092,15,16,11.43,11,23,16.89,12,27,15.93,13,24,33.74,14,35,11.3,9,53,13.26
