gene,condition,protein_change,feature,array_offset,genomic_pos,activation
HTT,WT,,11735,1,3041364,0.86328125
HTT,WT,,11735,1674,3043037,1.0
HTT,WT,,11735,1675,3043038,0.98046875
HTT,WT,,11735,5674,3047037,1.21875
HTT,WT,,11735,5708,3047071,0.87109375
HTT,WT,,11735,19172,3060535,0.87890625
HTT,WT,,11735,19173,3060536,1.015625
HTT,WT,,11735,21140,3062503,1.1875
HTT,WT,,11735,24039,3065402,1.40625
HTT,WT,,11735,42629,3083992,1.8125
HTT,WT,,11735,53800,3095163,1.453125
HTT,WT,,11735,53806,3095169,1.203125
HTT,WT,,11735,53930,3095293,1.25
HTT,WT,,11735,53971,3095334,0.99609375
HTT,WT,,11735,54026,3095389,0.95703125
HTT,WT,,11735,54029,3095392,1.109375
HTT,WT,,11735,54057,3095420,1.1875
HTT,WT,,11735,54063,3095426,0.91796875
HTT,WT,,11735,54066,3095429,0.90234375
HTT,WT,,11735,54126,3095489,1.234375
HTT,WT,,11735,54128,3095491,0.82421875
HTT,WT,,11735,67157,3108520,0.87109375
HTT,WT,,11735,89561,3130924,0.84765625
HTT,WT,,11735,94935,3136298,1.1875
HTT,WT,,11735,94943,3136306,0.82421875
HTT,WT,,11735,97052,3138415,0.88671875
HTT,WT,,11735,107203,3148566,0.87109375
HTT,WT,,11735,111426,3152789,0.87109375
HTT,WT,,11735,114068,3155431,1.203125
HTT,WT,,11735,121591,3162954,0.86328125
HTT,WT,,11735,121817,3163180,1.203125
HTT,WT,,11735,123817,3165180,1.125
HTT,WT,,11735,157910,3199273,0.91796875
HTT,WT,,9170,906,3042269,1.828125
HTT,WT,,9170,912,3042275,0.859375
HTT,WT,,9170,21479,3062842,1.0625
HTT,WT,,9170,31771,3073134,1.03125
HTT,WT,,9170,31842,3073205,1.5
HTT,WT,,9170,33354,3074717,1.28125
HTT,WT,,9170,33372,3074735,1.609375
HTT,WT,,9170,33692,3075055,2.390625
HTT,WT,,9170,33722,3075085,0.96875
HTT,WT,,9170,34039,3075402,1.078125
HTT,WT,,9170,34045,3075408,3.015625
HTT,WT,,9170,35342,3076705,3.421875
HTT,WT,,9170,36720,3078083,3.421875
HTT,WT,,9170,36732,3078095,4.125
HTT,WT,,9170,36738,3078101,2.890625
HTT,WT,,9170,36745,3078108,1.75
HTT,WT,,9170,44497,3085860,3.609375
HTT,WT,,9170,44506,3085869,4.0
HTT,WT,,9170,44542,3085905,1.34375
HTT,WT,,9170,45466,3086829,3.828125
HTT,WT,,9170,46077,3087440,2.015625
HTT,WT,,9170,46104,3087467,2.578125
HTT,WT,,9170,46113,3087476,1.953125
HTT,WT,,9170,46122,3087485,2.609375
HTT,WT,,9170,57014,3098377,1.640625
HTT,WT,,9170,57238,3098601,3.046875
HTT,WT,,9170,57376,3098739,1.203125
HTT,WT,,9170,57415,3098778,1.296875
HTT,WT,,9170,57940,3099303,3.484375
HTT,WT,,9170,58709,3100072,2.046875
HTT,WT,,9170,59108,3100471,1.0
HTT,WT,,9170,59117,3100480,1.84375
HTT,WT,,9170,59126,3100489,3.671875
HTT,WT,,9170,59370,3100733,1.140625
HTT,WT,,9170,59391,3100754,1.265625
HTT,WT,,9170,60633,3101996,1.921875
HTT,WT,,9170,60657,3102020,1.203125
HTT,WT,,9170,61386,3102749,2.390625
HTT,WT,,9170,61395,3102758,1.203125
HTT,WT,,9170,62424,3103787,2.765625
HTT,WT,,9170,62525,3103888,1.25
HTT,WT,,9170,63998,3105361,3.203125
HTT,WT,,9170,64016,3105379,0.890625
HTT,WT,,9170,64022,3105385,0.875
HTT,WT,,9170,65890,3107253,1.265625
HTT,WT,,9170,66032,3107395,2.984375
HTT,WT,,9170,66454,3107817,1.34375
HTT,WT,,9170,66557,3107920,1.21875
HTT,WT,,9170,66594,3107957,1.640625
HTT,WT,,9170,67107,3108470,1.90625
HTT,WT,,9170,70965,3112328,0.921875
HTT,WT,,9170,71780,3113143,2.09375
HTT,WT,,9170,71807,3113170,1.515625
HTT,WT,,9170,71816,3113179,1.21875
HTT,WT,,9170,72359,3113722,2.1875
HTT,WT,,9170,72368,3113731,2.03125
HTT,WT,,9170,72371,3113734,2.390625
HTT,WT,,9170,72386,3113749,2.296875
HTT,WT,,9170,72398,3113761,1.6875
HTT,WT,,9170,73731,3115094,2.578125
HTT,WT,,9170,74008,3115371,3.515625
HTT,WT,,9170,74083,3115446,3.234375
HTT,WT,,9170,74323,3115686,1.390625
HTT,WT,,9170,74371,3115734,1.84375
HTT,WT,,9170,74639,3116002,2.25
HTT,WT,,9170,74669,3116032,1.234375
HTT,WT,,9170,74722,3116085,1.8125
HTT,WT,,9170,74770,3116133,4.3125
HTT,WT,,9170,74839,3116202,4.875
HTT,WT,,9170,74848,3116211,3.359375
HTT,WT,,9170,75923,3117286,1.0625
HTT,WT,,9170,78124,3119487,3.203125
HTT,WT,,9170,79563,3120926,0.921875
HTT,WT,,9170,79598,3120961,1.953125
HTT,WT,,9170,79920,3121283,4.6875
HTT,WT,,9170,79992,3121355,4.1875
HTT,WT,,9170,79995,3121358,3.484375
HTT,WT,,9170,80001,3121364,3.453125
HTT,WT,,9170,80031,3121394,3.765625
HTT,WT,,9170,80034,3121397,4.0
HTT,WT,,9170,80040,3121403,0.828125
HTT,WT,,9170,80043,3121406,1.328125
HTT,WT,,9170,80049,3121412,4.1875
HTT,WT,,9170,80070,3121433,2.671875
HTT,WT,,9170,80812,3122175,3.046875
HTT,WT,,9170,80818,3122181,2.390625
HTT,WT,,9170,81319,3122682,1.09375
HTT,WT,,9170,81529,3122892,4.25
HTT,WT,,9170,81532,3122895,4.875
HTT,WT,,9170,81535,3122898,4.3125
HTT,WT,,9170,81574,3122937,3.515625
HTT,WT,,9170,81758,3123121,1.828125
HTT,WT,,9170,82530,3123893,1.890625
HTT,WT,,9170,82647,3124010,1.875
HTT,WT,,9170,82659,3124022,2.203125
HTT,WT,,9170,82834,3124197,1.890625
HTT,WT,,9170,82846,3124209,1.796875
HTT,WT,,9170,82902,3124265,2.546875
HTT,WT,,9170,82905,3124268,2.15625
HTT,WT,,9170,82963,3124326,1.65625
HTT,WT,,9170,82969,3124332,1.09375
HTT,WT,,9170,83051,3124414,1.0625
HTT,WT,,9170,83310,3124673,2.265625
HTT,WT,,9170,83977,3125340,2.328125
HTT,WT,,9170,84162,3125525,0.953125
HTT,WT,,9170,84186,3125549,1.5
HTT,WT,,9170,84201,3125564,3.046875
HTT,WT,,9170,84267,3125630,3.609375
HTT,WT,,9170,84490,3125853,1.203125
HTT,WT,,9170,85411,3126774,0.875
HTT,WT,,9170,85432,3126795,1.078125
HTT,WT,,9170,85782,3127145,2.234375
HTT,WT,,9170,85812,3127175,1.46875
HTT,WT,,9170,85815,3127178,0.9375
HTT,WT,,9170,85925,3127288,4.0625
HTT,WT,,9170,85946,3127309,4.5625
HTT,WT,,9170,85961,3127324,3.390625
HTT,WT,,9170,85970,3127333,3.609375
HTT,WT,,9170,86069,3127432,3.796875
HTT,WT,,9170,86150,3127513,3.890625
HTT,WT,,9170,86201,3127564,3.390625
HTT,WT,,9170,87126,3128489,2.890625
HTT,WT,,9170,87132,3128495,2.390625
HTT,WT,,9170,88516,3129879,1.109375
HTT,WT,,9170,88571,3129934,3.453125
HTT,WT,,9170,88592,3129955,4.125
HTT,WT,,9170,88604,3129967,3.796875
HTT,WT,,9170,88637,3130000,3.265625
HTT,WT,,9170,88685,3130048,4.0625
HTT,WT,,9170,88700,3130063,1.3125
HTT,WT,,9170,88718,3130081,1.078125
HTT,WT,,9170,89044,3130407,3.640625
HTT,WT,,9170,89939,3131302,3.609375
HTT,WT,,9170,89948,3131311,3.484375
HTT,WT,,9170,90023,3131386,4.25
HTT,WT,,9170,90026,3131389,2.609375
HTT,WT,,9170,90035,3131398,3.859375
HTT,WT,,9170,90152,3131515,2.546875
HTT,WT,,9170,90335,3131698,3.765625
HTT,WT,,9170,90413,3131776,2.359375
HTT,WT,,9170,90613,3131976,1.53125
HTT,WT,,9170,90925,3132288,2.890625
HTT,WT,,9170,91058,3132421,1.1875
HTT,WT,,9170,91089,3132452,2.484375
HTT,WT,,9170,91241,3132604,3.890625
HTT,WT,,9170,91259,3132622,3.421875
HTT,WT,,9170,91280,3132643,3.546875
HTT,WT,,9170,91325,3132688,4.0625
HTT,WT,,9170,91337,3132700,3.671875
HTT,WT,,9170,91358,3132721,3.703125
HTT,WT,,9170,91364,3132727,1.078125
HTT,WT,,9170,91451,3132814,1.96875
HTT,WT,,9170,92461,3133824,1.5
HTT,WT,,9170,92522,3133885,1.078125
HTT,WT,,9170,93081,3134444,5.25
HTT,WT,,9170,94582,3135945,0.9375
HTT,WT,,9170,94585,3135948,4.5625
HTT,WT,,9170,94603,3135966,4.625
HTT,WT,,9170,94882,3136245,0.859375
HTT,WT,,9170,94915,3136278,4.0
HTT,WT,,9170,94936,3136299,1.078125
HTT,WT,,9170,99023,3140386,2.296875
HTT,WT,,9170,99044,3140407,0.90625
HTT,WT,,9170,99060,3140423,1.671875
HTT,WT,,9170,99084,3140447,2.484375
HTT,WT,,9170,99087,3140450,2.0625
HTT,WT,,9170,99182,3140545,4.5625
HTT,WT,,9170,99209,3140572,0.921875
HTT,WT,,9170,99212,3140575,0.875
HTT,WT,,9170,100500,3141863,2.0
HTT,WT,,9170,100527,3141890,1.375
HTT,WT,,9170,100567,3141930,1.859375
HTT,WT,,9170,100880,3142243,1.5
HTT,WT,,9170,101414,3142777,2.328125
HTT,WT,,9170,101429,3142792,0.84375
HTT,WT,,9170,103333,3144696,2.296875
HTT,WT,,9170,103719,3145082,1.296875
HTT,WT,,9170,103793,3145156,3.984375
HTT,WT,,9170,103853,3145216,3.296875
HTT,WT,,9170,103865,3145228,2.984375
HTT,WT,,9170,103980,3145343,0.96875
HTT,WT,,9170,103995,3145358,3.296875
HTT,WT,,9170,104048,3145411,2.890625
HTT,WT,,9170,104072,3145435,1.5625
HTT,WT,,9170,104081,3145444,1.546875
HTT,WT,,9170,104355,3145718,1.78125
HTT,WT,,9170,104361,3145724,0.859375
HTT,WT,,9170,104562,3145925,1.40625
HTT,WT,,9170,104586,3145949,1.34375
HTT,WT,,9170,105484,3146847,4.6875
HTT,WT,,9170,105571,3146934,3.484375
HTT,WT,,9170,105586,3146949,2.828125
HTT,WT,,9170,105649,3147012,0.796875
HTT,WT,,9170,106735,3148098,2.671875
HTT,WT,,9170,106831,3148194,4.1875
HTT,WT,,9170,106861,3148224,0.921875
HTT,WT,,9170,106867,3148230,1.0
HTT,WT,,9170,107012,3148375,1.75
HTT,WT,,9170,112717,3154080,2.546875
HTT,WT,,9170,112985,3154348,4.5625
HTT,WT,,9170,113003,3154366,3.828125
HTT,WT,,9170,113039,3154402,3.859375
HTT,WT,,9170,113057,3154420,2.578125
HTT,WT,,9170,113348,3154711,1.25
HTT,WT,,9170,113354,3154717,3.328125
HTT,WT,,9170,113363,3154726,3.421875
HTT,WT,,9170,113384,3154747,1.8125
HTT,WT,,9170,113390,3154753,1.296875
HTT,WT,,9170,113504,3154867,1.5
HTT,WT,,9170,113785,3155148,2.0
HTT,WT,,9170,113797,3155160,3.828125
HTT,WT,,9170,115588,3156951,1.828125
HTT,WT,,9170,115733,3157096,4.0625
HTT,WT,,9170,115766,3157129,4.125
HTT,WT,,9170,117512,3158875,3.421875
HTT,WT,,9170,117714,3159077,1.71875
HTT,WT,,9170,118856,3160219,1.59375
HTT,WT,,9170,118956,3160319,5.0
HTT,WT,,9170,118959,3160322,4.9375
HTT,WT,,9170,119025,3160388,3.890625
HTT,WT,,9170,129642,3171005,2.25
HTT,WT,,9170,130558,3171921,1.015625
HTT,WT,,9170,130914,3172277,2.609375
HTT,WT,,9170,130976,3172339,3.046875
HTT,WT,,9170,131242,3172605,1.390625
HTT,WT,,9170,131564,3172927,4.5
HTT,WT,,9170,131591,3172954,3.140625
HTT,WT,,9170,131621,3172984,4.0625
HTT,WT,,9170,131639,3173002,5.125
HTT,WT,,9170,131657,3173020,0.828125
HTT,WT,,9170,131660,3173023,4.875
HTT,WT,,9170,131768,3173131,3.859375
HTT,WT,,9170,133148,3174511,2.328125
HTT,WT,,9170,133303,3174666,0.8125
HTT,WT,,9170,133444,3174807,0.90625
HTT,WT,,9170,133713,3175076,0.84375
HTT,WT,,9170,133909,3175272,1.390625
HTT,WT,,9170,134562,3175925,0.796875
HTT,WT,,9170,135070,3176433,2.1875
HTT,WT,,9170,135101,3176464,3.609375
HTT,WT,,9170,135144,3176507,1.90625
HTT,WT,,9170,135162,3176525,3.640625
HTT,WT,,9170,135168,3176531,3.203125
HTT,WT,,9170,135177,3176540,2.703125
HTT,WT,,9170,135186,3176549,1.515625
HTT,WT,,9170,135192,3176555,1.375
HTT,WT,,9170,135201,3176564,1.28125
HTT,WT,,9170,135210,3176573,1.34375
HTT,WT,,9170,135979,3177342,4.625
HTT,WT,,9170,136015,3177378,3.953125
HTT,WT,,9170,137018,3178381,3.265625
HTT,WT,,9170,137048,3178411,3.359375
HTT,WT,,9170,137063,3178426,3.828125
HTT,WT,,9170,137084,3178447,3.171875
HTT,WT,,9170,137090,3178453,0.9375
HTT,WT,,9170,137714,3179077,1.6875
HTT,WT,,9170,138818,3180181,2.203125
HTT,WT,,9170,138842,3180205,1.484375
HTT,WT,,9170,138914,3180277,0.828125
HTT,WT,,9170,139170,3180533,0.828125
HTT,WT,,9170,139200,3180563,3.421875
HTT,WT,,9170,139221,3180584,4.5
HTT,WT,,9170,139413,3180776,1.953125
HTT,WT,,9170,139419,3180782,1.1875
HTT,WT,,9170,140884,3182247,1.4375
HTT,WT,,9170,145262,3186625,4.625
HTT,WT,,9170,145310,3186673,0.796875
HTT,WT,,9170,145331,3186694,0.796875
HTT,WT,,9170,145346,3186709,0.828125
HTT,WT,,9170,145418,3186781,2.03125
HTT,WT,,9170,146322,3187685,4.5625
HTT,WT,,9170,146448,3187811,3.796875
HTT,WT,,9170,146484,3187847,4.125
HTT,WT,,9170,146778,3188141,2.328125
HTT,WT,,9170,146938,3188301,0.828125
HTT,WT,,9170,147608,3188971,3.796875
HTT,WT,,9170,147692,3189055,2.921875
HTT,WT,,9170,147731,3189094,3.390625
HTT,WT,,9170,149400,3190763,2.578125
HTT,WT,,9170,149734,3191097,1.640625
HTT,WT,,9170,150200,3191563,2.703125
