gene,condition,protein_change,feature,array_offset,genomic_pos,activation
ELN,WT,,11735,1,74027774,0.71484375
ELN,WT,,11735,489,74028262,1.421875
ELN,WT,,11735,953,74028726,0.69140625
ELN,WT,,11735,2835,74030608,0.83203125
ELN,WT,,11735,3819,74031592,0.73046875
ELN,WT,,11735,4206,74031979,0.96484375
ELN,WT,,11735,6701,74034474,0.80078125
ELN,WT,,11735,6744,74034517,0.83203125
ELN,WT,,11735,6994,74034767,0.69921875
ELN,WT,,11735,6995,74034768,0.79296875
ELN,WT,,11735,8286,74036059,0.96484375
ELN,WT,,11735,9933,74037706,0.71484375
ELN,WT,,11735,14840,74042613,0.89453125
ELN,WT,,11735,15344,74043117,0.84765625
ELN,WT,,11735,15662,74043435,0.83984375
ELN,WT,,11735,15663,74043436,0.91796875
ELN,WT,,11735,15670,74043443,0.72265625
ELN,WT,,11735,16105,74043878,0.88671875
ELN,WT,,11735,16849,74044622,0.80859375
ELN,WT,,11735,17448,74045221,1.171875
ELN,WT,,11735,18561,74046334,1.109375
ELN,WT,,11735,18922,74046695,1.0625
ELN,WT,,11735,20293,74048066,0.69921875
ELN,WT,,11735,20367,74048140,0.78515625
ELN,WT,,11735,24150,74051923,0.94140625
ELN,WT,,11735,26942,74054715,0.75390625
ELN,WT,,11735,29799,74057572,0.78515625
ELN,WT,,11735,31455,74059228,0.73828125
ELN,WT,,11735,31974,74059747,0.72265625
ELN,WT,,11735,32366,74060139,1.265625
ELN,WT,,11735,35536,74063309,0.97265625
ELN,WT,,11735,39966,74067739,0.88671875
ELN,WT,,9170,80,74027853,0.71875
ELN,WT,,9170,422,74028195,1.0625
ELN,WT,,9170,449,74028222,2.328125
ELN,WT,,9170,494,74028267,2.390625
ELN,WT,,9170,497,74028270,3.015625
ELN,WT,,9170,795,74028568,1.609375
ELN,WT,,9170,1546,74029319,0.828125
ELN,WT,,9170,1857,74029630,1.140625
ELN,WT,,9170,1966,74029739,0.875
ELN,WT,,9170,2006,74029779,1.484375
ELN,WT,,9170,2042,74029815,1.34375
ELN,WT,,9170,2337,74030110,2.390625
ELN,WT,,9170,2340,74030113,1.0625
ELN,WT,,9170,2432,74030205,2.140625
ELN,WT,,9170,2690,74030463,1.015625
ELN,WT,,9170,5791,74033564,0.8125
ELN,WT,,9170,5982,74033755,0.765625
ELN,WT,,9170,6597,74034370,1.921875
ELN,WT,,9170,7591,74035364,2.03125
ELN,WT,,9170,7600,74035373,3.859375
ELN,WT,,9170,7612,74035385,3.296875
ELN,WT,,9170,7615,74035388,3.734375
