gene,condition,protein_change,feature,array_offset,genomic_pos,activation
FXN,WT,,11735,1,69035731,0.83203125
FXN,WT,,11735,4063,69039793,1.015625
FXN,WT,,11735,16103,69051833,0.94921875
FXN,WT,,11735,18658,69054388,0.89453125
FXN,WT,,11735,25375,69061105,0.76953125
FXN,WT,,11735,26586,69062316,0.77734375
FXN,WT,,11735,28352,69064082,0.95703125
FXN,WT,,11735,32488,69068218,0.80859375
FXN,WT,,9170,66,69035796,0.984375
FXN,WT,,9170,165,69035895,2.734375
FXN,WT,,9170,174,69035904,2.078125
FXN,WT,,9170,234,69035964,1.0
FXN,WT,,9170,355,69036085,1.9375
FXN,WT,,9170,358,69036088,2.296875
FXN,WT,,9170,441,69036171,1.078125
FXN,WT,,9170,10671,69046401,0.921875
FXN,WT,,9170,10687,69046417,1.453125
FXN,WT,,9170,10742,69046472,1.59375
FXN,WT,,9170,17529,69053259,3.140625
FXN,WT,,9170,17992,69053722,0.890625
FXN,WT,,9170,19255,69054985,0.765625
FXN,WT,,9170,19574,69055304,2.328125
FXN,WT,,9170,19749,69055479,3.265625
FXN,WT,,9170,21606,69057336,3.265625
FXN,WT,,9170,21663,69057393,2.984375
FXN,WT,,9170,22421,69058151,1.453125
FXN,WT,,9170,22479,69058209,2.859375
FXN,WT,,9170,22482,69058212,2.359375
FXN,WT,,9170,22558,69058288,2.703125
FXN,WT,,9170,22659,69058389,2.125
FXN,WT,,9170,24316,69060046,1.171875
FXN,WT,,9170,24933,69060663,1.625
FXN,WT,,9170,25110,69060840,3.171875
FXN,WT,,9170,28863,69064593,4.3125
FXN,WT,,9170,29212,69064942,2.890625
FXN,WT,,9170,29233,69064963,4.25
FXN,WT,,9170,29236,69064966,3.796875
FXN,WT,,9170,29245,69064975,4.4375
FXN,WT,,9170,29272,69065002,0.921875
FXN,WT,,9170,30181,69065911,1.796875
FXN,WT,,9170,30231,69065961,1.6875
FXN,WT,,9170,30279,69066009,2.921875
FXN,WT,,9170,30297,69066027,1.796875
FXN,WT,,9170,30795,69066525,1.21875
FXN,WT,,9170,30798,69066528,0.828125
FXN,WT,,9170,30937,69066667,1.25
FXN,WT,,9170,31073,69066803,2.203125
FXN,WT,,9170,31399,69067129,2.484375
FXN,WT,,9170,31402,69067132,2.25
FXN,WT,,9170,31485,69067215,0.78125
FXN,WT,,9170,31768,69067498,2.0625
FXN,WT,,9170,32096,69067826,1.25
FXN,WT,,9170,32099,69067829,1.515625
FXN,WT,,9170,32117,69067847,2.578125
FXN,WT,,9170,32160,69067890,1.296875
FXN,WT,,9170,32732,69068462,2.453125
FXN,WT,,9170,32777,69068507,1.640625
FXN,WT,,9170,32789,69068519,2.078125
FXN,WT,,9170,32798,69068528,0.890625
FXN,WT,,9170,32864,69068594,0.984375
FXN,WT,,9170,32873,69068603,2.890625
FXN,WT,,9170,33098,69068828,0.78125
FXN,WT,,9170,33245,69068975,3.671875
FXN,WT,,9170,33352,69069082,3.546875
FXN,WT,,9170,33668,69069398,1.109375
FXN,WT,,9170,33692,69069422,4.0
FXN,WT,,9170,33830,69069560,2.453125
FXN,WT,,9170,34045,69069775,2.25
FXN,WT,,9170,34054,69069784,2.390625
FXN,WT,,9170,34057,69069787,2.28125
FXN,WT,,9170,34060,69069790,1.015625
FXN,WT,,9170,34210,69069940,3.046875
FXN,WT,,9170,34217,69069947,0.921875
FXN,WT,,9170,34219,69069949,0.765625
FXN,WT,,9170,34228,69069958,0.796875
FXN,WT,,9170,34534,69070264,0.84375
FXN,WT,,9170,34600,69070330,2.546875
FXN,WT,,9170,34648,69070378,3.953125
FXN,WT,,9170,34684,69070414,1.296875
FXN,WT,,9170,34686,69070416,1.21875
FXN,WT,,9170,34701,69070431,0.78125
FXN,WT,,9170,34702,69070432,1.0
FXN,WT,,9170,34712,69070442,1.5
FXN,WT,,9170,34721,69070451,1.84375
FXN,WT,,9170,34729,69070459,0.875
FXN,WT,,9170,34732,69070462,0.765625
FXN,WT,,9170,34733,69070463,0.875
FXN,WT,,9170,34736,69070466,1.34375
FXN,WT,,9170,34753,69070483,1.03125
FXN,WT,,9170,35348,69071078,0.953125
FXN,WT,,9170,35599,69071329,3.046875
FXN,WT,,9170,35638,69071368,2.015625
FXN,WT,,9170,35665,69071395,2.484375
FXN,WT,,9170,35689,69071419,1.8125
FXN,WT,,9170,36806,69072536,2.546875
FXN,WT,,9170,36841,69072571,1.921875
FXN,WT,,9170,36884,69072614,2.859375
FXN,WT,,9170,36893,69072623,0.78125
FXN,WT,,9170,36908,69072638,4.875
FXN,WT,,9170,36935,69072665,3.390625
FXN,WT,,9170,37019,69072749,3.578125
FXN,WT,,9170,41558,69077288,3.890625
FXN,WT,,9170,41567,69077297,2.734375
FXN,WT,,9170,41648,69077378,3.640625
FXN,WT,,9170,41663,69077393,1.1875
FXN,WT,,5026,2,69035732,5.375
FXN,WT,,5026,8,69035738,2.109375
FXN,WT,,5026,74,69035804,0.8125
FXN,WT,,5026,77,69035807,1.03125
FXN,WT,,5026,92,69035822,1.078125
FXN,WT,,5026,131,69035861,2.21875
FXN,WT,,5026,143,69035873,0.890625
FXN,WT,,5026,152,69035882,1.34375
FXN,WT,,5026,164,69035894,1.4375
FXN,WT,,5026,173,69035903,1.40625
FXN,WT,,5026,185,69035915,1.140625
FXN,WT,,5026,191,69035921,2.5625
FXN,WT,,5026,194,69035924,2.6875
FXN,WT,,5026,215,69035945,2.203125
FXN,WT,,5026,218,69035948,1.546875
FXN,WT,,5026,354,69036084,0.796875
FXN,WT,,5026,357,69036087,0.9375
FXN,WT,,5026,363,69036093,1.1875
FXN,WT,,5026,366,69036096,1.6875
FXN,WT,,5026,369,69036099,1.375
FXN,WT,,5026,372,69036102,1.0625
FXN,WT,,5026,2716,69038446,0.859375
FXN,WT,,5026,7160,69042890,0.8125
FXN,WT,,5026,8185,69043915,0.796875
FXN,WT,,5026,10559,69046289,0.796875
FXN,WT,,5026,10670,69046400,0.84375
FXN,WT,,5026,10704,69046434,1.90625
FXN,WT,,5026,10741,69046471,1.90625
FXN,WT,,5026,10753,69046483,1.28125
FXN,WT,,5026,11362,69047092,0.890625
FXN,WT,,5026,17420,69053150,0.8125
FXN,WT,,5026,17432,69053162,1.46875
FXN,WT,,5026,17441,69053171,2.265625
FXN,WT,,5026,17444,69053174,2.328125
FXN,WT,,5026,17447,69053177,2.390625
FXN,WT,,5026,17456,69053186,2.59375
FXN,WT,,5026,17465,69053195,2.234375
FXN,WT,,5026,17468,69053198,2.5
FXN,WT,,5026,17477,69053207,2.3125
FXN,WT,,5026,17480,69053210,2.28125
FXN,WT,,5026,17486,69053216,1.984375
FXN,WT,,5026,17489,69053219,1.828125
FXN,WT,,5026,17507,69053237,2.890625
FXN,WT,,5026,17510,69053240,2.703125
FXN,WT,,5026,17516,69053246,2.59375
FXN,WT,,5026,17519,69053249,2.3125
FXN,WT,,5026,17528,69053258,2.484375
FXN,WT,,5026,19482,69055212,1.40625
FXN,WT,,5026,19742,69055472,1.546875
FXN,WT,,5026,19748,69055478,1.921875
FXN,WT,,5026,21512,69057242,0.875
FXN,WT,,5026,21605,69057335,1.625
FXN,WT,,5026,21623,69057353,0.859375
FXN,WT,,5026,21635,69057365,1.171875
FXN,WT,,5026,21641,69057371,2.75
FXN,WT,,5026,21662,69057392,1.765625
FXN,WT,,5026,22478,69058208,1.328125
FXN,WT,,5026,22481,69058211,1.515625
FXN,WT,,5026,22681,69058411,2.078125
FXN,WT,,5026,22684,69058414,2.71875
FXN,WT,,5026,22692,69058422,1.609375
FXN,WT,,5026,22714,69058444,0.984375
FXN,WT,,5026,22723,69058453,0.984375
FXN,WT,,5026,25106,69060836,1.078125
FXN,WT,,5026,25109,69060839,2.0
FXN,WT,,5026,28420,69064150,1.25
FXN,WT,,5026,28716,69064446,1.765625
FXN,WT,,5026,28728,69064458,3.171875
FXN,WT,,5026,28850,69064580,0.84375
FXN,WT,,5026,28862,69064592,1.8125
FXN,WT,,5026,29117,69064847,1.28125
FXN,WT,,5026,29137,69064867,2.140625
FXN,WT,,5026,29211,69064941,3.046875
FXN,WT,,5026,29214,69064944,3.484375
FXN,WT,,5026,29223,69064953,4.25
FXN,WT,,5026,29232,69064962,3.578125
FXN,WT,,5026,29235,69064965,3.546875
FXN,WT,,5026,29238,69064968,2.078125
FXN,WT,,5026,29244,69064974,3.359375
FXN,WT,,5026,29253,69064983,2.4375
FXN,WT,,5026,30203,69065933,1.09375
FXN,WT,,5026,31108,69066838,1.296875
FXN,WT,,5026,31114,69066844,1.03125
FXN,WT,,5026,31401,69067131,0.828125
FXN,WT,,5026,31436,69067166,0.984375
FXN,WT,,5026,31444,69067174,1.890625
FXN,WT,,5026,31447,69067177,1.65625
FXN,WT,,5026,31767,69067497,0.921875
FXN,WT,,5026,31875,69067605,1.296875
FXN,WT,,5026,32075,69067805,1.90625
FXN,WT,,5026,32084,69067814,0.953125
FXN,WT,,5026,32113,69067843,0.796875
FXN,WT,,5026,32830,69068560,1.203125
FXN,WT,,5026,32842,69068572,1.90625
FXN,WT,,5026,32845,69068575,2.109375
FXN,WT,,5026,32848,69068578,1.453125
FXN,WT,,5026,32854,69068584,1.15625
FXN,WT,,5026,32872,69068602,0.8125
FXN,WT,,5026,33244,69068974,1.859375
FXN,WT,,5026,33276,69069006,1.109375
FXN,WT,,5026,33331,69069061,1.09375
FXN,WT,,5026,33339,69069069,1.484375
FXN,WT,,5026,33351,69069081,2.5625
FXN,WT,,5026,33357,69069087,1.78125
FXN,WT,,5026,33363,69069093,1.703125
FXN,WT,,5026,33366,69069096,2.28125
FXN,WT,,5026,33679,69069409,1.640625
FXN,WT,,5026,33688,69069418,1.78125
FXN,WT,,5026,33691,69069421,1.875
FXN,WT,,5026,33694,69069424,1.359375
FXN,WT,,5026,33706,69069436,2.515625
FXN,WT,,5026,34041,69069771,1.421875
FXN,WT,,5026,34044,69069774,1.953125
FXN,WT,,5026,34047,69069777,1.09375
FXN,WT,,5026,34053,69069783,1.484375
FXN,WT,,5026,34056,69069786,1.3125
FXN,WT,,5026,34060,69069790,0.828125
FXN,WT,,5026,34063,69069793,1.1875
FXN,WT,,5026,34134,69069864,1.953125
FXN,WT,,5026,34152,69069882,3.140625
FXN,WT,,5026,34164,69069894,3.296875
FXN,WT,,5026,34170,69069900,3.359375
FXN,WT,,5026,34182,69069912,3.515625
FXN,WT,,5026,34203,69069933,1.0
FXN,WT,,5026,34209,69069939,1.484375
FXN,WT,,5026,34216,69069946,2.34375
FXN,WT,,5026,34533,69070263,0.828125
FXN,WT,,5026,34557,69070287,1.875
FXN,WT,,5026,34563,69070293,1.671875
FXN,WT,,5026,34572,69070302,2.6875
FXN,WT,,5026,34584,69070314,2.671875
FXN,WT,,5026,34590,69070320,1.25
FXN,WT,,5026,34599,69070329,1.296875
FXN,WT,,5026,34611,69070341,1.84375
FXN,WT,,5026,34614,69070344,2.0625
FXN,WT,,5026,34620,69070350,2.40625
FXN,WT,,5026,34647,69070377,2.453125
FXN,WT,,5026,34662,69070392,2.125
FXN,WT,,5026,35586,69071316,1.84375
FXN,WT,,5026,35595,69071325,1.1875
FXN,WT,,5026,35607,69071337,1.0625
FXN,WT,,5026,35619,69071349,1.6875
FXN,WT,,5026,35625,69071355,2.59375
FXN,WT,,5026,35652,69071382,1.609375
FXN,WT,,5026,35658,69071388,1.609375
FXN,WT,,5026,35670,69071400,1.265625
FXN,WT,,5026,35679,69071409,1.625
FXN,WT,,5026,35955,69071685,1.796875
FXN,WT,,5026,36849,69072579,0.859375
FXN,WT,,5026,36852,69072582,1.578125
FXN,WT,,5026,36883,69072613,1.984375
FXN,WT,,5026,36898,69072628,2.59375
FXN,WT,,5026,36907,69072637,2.484375
FXN,WT,,5026,36919,69072649,2.40625
FXN,WT,,5026,36931,69072661,2.3125
FXN,WT,,5026,36934,69072664,2.703125
FXN,WT,,5026,36937,69072667,2.375
FXN,WT,,5026,36949,69072679,2.390625
FXN,WT,,5026,36958,69072688,2.015625
FXN,WT,,5026,36961,69072691,2.078125
FXN,WT,,5026,36964,69072694,2.984375
FXN,WT,,5026,36976,69072706,2.046875
FXN,WT,,5026,36994,69072724,2.25
FXN,WT,,5026,37009,69072739,1.796875
FXN,WT,,5026,37018,69072748,1.828125
FXN,WT,,5026,37024,69072754,1.125
FXN,WT,,5026,37027,69072757,1.546875
FXN,WT,,5026,41557,69077287,1.234375
FXN,WT,,5026,41647,69077377,2.296875
FXN,WT,,5026,41656,69077386,2.671875
FXN,WT,,5026,41662,69077392,1.125
FXN,WT,,5026,41668,69077398,1.34375
