gene,condition,protein_change,feature,array_offset,genomic_pos,activation
C9orf72,WT,,11735,52,27573843,1.359375
C9orf72,WT,,11735,7645,27566250,0.78515625
C9orf72,WT,,11735,12525,27561370,1.046875
C9orf72,WT,,11735,19105,27554790,0.98046875
C9orf72,WT,,11735,20356,27553539,0.86328125
C9orf72,WT,,9170,938,27572957,0.828125
C9orf72,WT,,9170,1938,27571957,1.1875
C9orf72,WT,,9170,6765,27567130,2.953125
C9orf72,WT,,9170,6836,27567059,4.6875
C9orf72,WT,,9170,6887,27567008,3.765625
C9orf72,WT,,9170,6914,27566981,0.828125
C9orf72,WT,,9170,6944,27566951,3.578125
C9orf72,WT,,9170,6980,27566915,3.140625
C9orf72,WT,,9170,7007,27566888,3.328125
C9orf72,WT,,9170,7046,27566849,3.640625
C9orf72,WT,,9170,7049,27566846,0.875
C9orf72,WT,,9170,7076,27566819,3.171875
C9orf72,WT,,9170,7088,27566807,4.125
C9orf72,WT,,9170,7106,27566789,3.265625
C9orf72,WT,,9170,7199,27566696,4.0625
C9orf72,WT,,9170,8104,27565791,2.390625
C9orf72,WT,,9170,8342,27565553,4.75
C9orf72,WT,,9170,8756,27565139,1.109375
C9orf72,WT,,9170,8917,27564978,3.359375
C9orf72,WT,,9170,9040,27564855,2.453125
C9orf72,WT,,9170,9094,27564801,1.953125
C9orf72,WT,,9170,10000,27563895,2.796875
C9orf72,WT,,9170,10175,27563720,1.921875
C9orf72,WT,,9170,10743,27563152,1.65625
C9orf72,WT,,9170,10746,27563149,2.515625
C9orf72,WT,,9170,10900,27562995,1.703125
C9orf72,WT,,9170,11420,27562475,2.703125
C9orf72,WT,,9170,11447,27562448,4.125
C9orf72,WT,,9170,11988,27561907,0.921875
C9orf72,WT,,9170,12280,27561615,3.484375
C9orf72,WT,,9170,12298,27561597,3.203125
C9orf72,WT,,9170,12702,27561193,2.921875
C9orf72,WT,,9170,13625,27560270,4.0625
C9orf72,WT,,9170,13643,27560252,4.4375
C9orf72,WT,,9170,13652,27560243,0.875
C9orf72,WT,,9170,14088,27559807,1.21875
C9orf72,WT,,9170,14097,27559798,2.421875
C9orf72,WT,,9170,14810,27559085,1.796875
C9orf72,WT,,9170,15379,27558516,4.3125
C9orf72,WT,,9170,15394,27558501,4.0625
C9orf72,WT,,9170,15624,27558271,0.9375
C9orf72,WT,,9170,17109,27556786,3.890625
C9orf72,WT,,9170,22196,27551699,1.796875
C9orf72,WT,,9170,23474,27550421,2.984375
C9orf72,WT,,9170,24443,27549452,2.125
C9orf72,WT,,9170,25248,27548647,3.671875
C9orf72,WT,,9170,25481,27548414,4.625
C9orf72,WT,,9170,25505,27548390,0.9375
C9orf72,WT,,9170,25541,27548354,3.015625
