gene,condition,protein_change,feature,array_offset,genomic_pos,activation
TPM1,WT,,11735,1,63042131,0.83203125
TPM1,WT,,11735,21791,63063921,0.69140625
TPM1,WT,,9170,70,63042200,2.703125
TPM1,WT,,9170,73,63042203,2.640625
TPM1,WT,,9170,79,63042209,3.015625
TPM1,WT,,9170,82,63042212,2.15625
TPM1,WT,,9170,113,63042243,1.71875
TPM1,WT,,9170,128,63042258,1.75
TPM1,WT,,9170,139,63042269,1.59375
TPM1,WT,,9170,146,63042276,1.375
TPM1,WT,,9170,172,63042302,0.75
TPM1,WT,,9170,347,63042477,0.78125
TPM1,WT,,9170,1937,63044067,2.640625
TPM1,WT,,9170,2635,63044765,0.828125
TPM1,WT,,9170,5068,63047198,1.78125
TPM1,WT,,9170,5080,63047210,1.640625
TPM1,WT,,9170,5214,63047344,1.15625
TPM1,WT,,9170,5220,63047350,1.125
TPM1,WT,,9170,6154,63048284,0.734375
TPM1,WT,,9170,6453,63048583,1.515625
TPM1,WT,,9170,6531,63048661,2.140625
TPM1,WT,,9170,6543,63048673,0.984375
TPM1,WT,,9170,7249,63049379,1.34375
TPM1,WT,,9170,7388,63049518,1.765625
TPM1,WT,,9170,9012,63051142,0.9375
TPM1,WT,,9170,10531,63052661,2.234375
TPM1,WT,,9170,10546,63052676,1.765625
TPM1,WT,,9170,11981,63054111,1.453125
TPM1,WT,,9170,12011,63054141,1.3125
TPM1,WT,,9170,12184,63054314,0.6875
TPM1,WT,,9170,13403,63055533,1.328125
TPM1,WT,,9170,17041,63059171,0.640625
TPM1,WT,,9170,17279,63059409,1.96875
TPM1,WT,,9170,17435,63059565,2.328125
TPM1,WT,,9170,17835,63059965,1.234375
TPM1,WT,,9170,17864,63059994,0.65625
TPM1,WT,,9170,18809,63060939,1.453125
TPM1,WT,,9170,20516,63062646,0.6875
TPM1,WT,,9170,20995,63063125,0.84375
TPM1,WT,,9170,23205,63065335,1.5
TPM1,WT,,9170,23694,63065824,0.734375
TPM1,WT,,9170,24346,63066476,0.9375
TPM1,WT,,9170,24416,63066546,0.640625
TPM1,WT,,9170,25263,63067393,0.640625
TPM1,WT,,9170,25841,63067971,2.21875
TPM1,WT,,9170,27581,63069711,0.984375
TPM1,WT,,9170,28777,63070907,2.640625
TPM1,WT,,5026,5,63042135,0.96875
TPM1,WT,,5026,8,63042138,1.53125
TPM1,WT,,5026,39,63042169,1.25
TPM1,WT,,5026,42,63042172,1.90625
TPM1,WT,,5026,54,63042184,2.546875
TPM1,WT,,5026,57,63042187,2.71875
TPM1,WT,,5026,69,63042199,2.921875
TPM1,WT,,5026,72,63042202,2.765625
TPM1,WT,,5026,75,63042205,2.6875
TPM1,WT,,5026,78,63042208,2.953125
TPM1,WT,,5026,81,63042211,2.828125
TPM1,WT,,5026,112,63042242,1.609375
TPM1,WT,,5026,115,63042245,0.828125
