gene,condition,protein_change,feature,array_offset,genomic_pos,activation
NPHS1,WT,,11735,1,35869286,0.74609375
NPHS1,WT,,11735,3844,35865443,0.76171875
NPHS1,WT,,11735,7686,35861601,0.95703125
NPHS1,WT,,11735,8044,35861243,1.046875
NPHS1,WT,,11735,8112,35861175,1.078125
NPHS1,WT,,11735,8284,35861003,0.70703125
NPHS1,WT,,11735,8290,35860997,1.015625
NPHS1,WT,,11735,8291,35860996,0.84765625
NPHS1,WT,,11735,8315,35860972,0.80859375
NPHS1,WT,,11735,8354,35860933,0.73046875
NPHS1,WT,,11735,8372,35860915,0.72265625
NPHS1,WT,,11735,8631,35860656,0.93359375
NPHS1,WT,,11735,8669,35860618,1.53125
NPHS1,WT,,11735,8676,35860611,0.95703125
NPHS1,WT,,11735,8768,35860519,0.72265625
NPHS1,WT,,11735,8908,35860379,0.69921875
NPHS1,WT,,11735,8929,35860358,0.95703125
NPHS1,WT,,11735,8983,35860304,0.93359375
NPHS1,WT,,11735,8984,35860303,1.0625
NPHS1,WT,,11735,9667,35859620,1.375
NPHS1,WT,,11735,10483,35858804,1.359375
NPHS1,WT,,11735,10484,35858803,1.421875
NPHS1,WT,,11735,10514,35858773,0.73046875
NPHS1,WT,,11735,10568,35858719,0.90234375
NPHS1,WT,,11735,10577,35858710,0.75390625
NPHS1,WT,,11735,10741,35858546,1.828125
NPHS1,WT,,11735,10789,35858498,0.71484375
NPHS1,WT,,11735,10828,35858459,1.625
NPHS1,WT,,11735,11884,35857403,0.72265625
NPHS1,WT,,11735,17713,35851574,2.25
NPHS1,WT,,11735,17747,35851540,2.078125
NPHS1,WT,,11735,17758,35851529,0.80078125
NPHS1,WT,,11735,17946,35851341,0.75390625
NPHS1,WT,,11735,17947,35851340,0.76953125
NPHS1,WT,,11735,17959,35851328,1.109375
NPHS1,WT,,11735,18018,35851269,0.69921875
NPHS1,WT,,11735,18278,35851009,1.234375
NPHS1,WT,,11735,18290,35850997,0.75390625
NPHS1,WT,,11735,19730,35849557,0.90234375
NPHS1,WT,,11735,20004,35849283,1.859375
NPHS1,WT,,11735,20009,35849278,0.77734375
NPHS1,WT,,11735,20015,35849272,1.359375
NPHS1,WT,,11735,20016,35849271,1.15625
NPHS1,WT,,11735,20044,35849243,1.71875
NPHS1,WT,,11735,20051,35849236,0.77734375
NPHS1,WT,,11735,20143,35849144,1.796875
NPHS1,WT,,11735,20229,35849058,0.73046875
NPHS1,WT,,11735,20232,35849055,1.453125
NPHS1,WT,,11735,20233,35849054,1.6875
NPHS1,WT,,11735,20248,35849039,1.171875
NPHS1,WT,,11735,20253,35849034,1.140625
NPHS1,WT,,11735,20260,35849027,0.72265625
NPHS1,WT,,11735,20497,35848790,0.87109375
NPHS1,WT,,11735,20561,35848726,1.90625
NPHS1,WT,,11735,20566,35848721,0.83203125
NPHS1,WT,,11735,20572,35848715,1.21875
NPHS1,WT,,11735,20600,35848687,1.015625
NPHS1,WT,,11735,20601,35848686,1.40625
NPHS1,WT,,11735,20946,35848341,0.70703125
NPHS1,WT,,11735,20952,35848335,0.80859375
NPHS1,WT,,11735,20953,35848334,0.90234375
NPHS1,WT,,11735,20968,35848319,1.84375
NPHS1,WT,,11735,20973,35848314,1.296875
NPHS1,WT,,11735,21126,35848161,1.03125
NPHS1,WT,,11735,21199,35848088,2.21875
NPHS1,WT,,11735,21204,35848083,1.03125
NPHS1,WT,,11735,21210,35848077,0.95703125
NPHS1,WT,,11735,21238,35848049,0.71484375
NPHS1,WT,,11735,21239,35848048,2.171875
NPHS1,WT,,11735,21673,35847614,0.81640625
NPHS1,WT,,11735,21723,35847564,0.96484375
NPHS1,WT,,11735,23234,35846053,2.0
NPHS1,WT,,11735,23239,35846048,0.95703125
NPHS1,WT,,11735,23493,35845794,0.96484375
NPHS1,WT,,11735,23559,35845728,0.70703125
NPHS1,WT,,11735,23560,35845727,2.65625
NPHS1,WT,,11735,23565,35845722,0.77734375
NPHS1,WT,,11735,23571,35845716,0.95703125
NPHS1,WT,,11735,23600,35845687,1.5625
NPHS1,WT,,11735,23841,35845446,0.72265625
NPHS1,WT,,11735,23856,35845431,1.09375
NPHS1,WT,,11735,23861,35845426,1.328125
NPHS1,WT,,11735,24354,35844933,0.93359375
NPHS1,WT,,11735,25114,35844173,1.296875
NPHS1,WT,,11735,25115,35844172,1.8125
NPHS1,WT,,11735,25127,35844160,1.875
NPHS1,WT,,11735,25147,35844140,0.87109375
NPHS1,WT,,11735,25762,35843525,1.359375
NPHS1,WT,,11735,25767,35843520,0.95703125
NPHS1,WT,,11735,25805,35843482,1.640625
NPHS1,WT,,11735,26835,35842452,0.80859375
NPHS1,WT,,11735,26836,35842451,1.296875
NPHS1,WT,,11735,26848,35842439,2.078125
NPHS1,WT,,11735,26853,35842434,1.28125
NPHS1,WT,,11735,27087,35842200,1.296875
NPHS1,WT,,11735,27123,35842164,1.15625
NPHS1,WT,,11735,27124,35842163,1.625
NPHS1,WT,,11735,27134,35842153,1.671875
NPHS1,WT,,11735,27135,35842152,1.03125
NPHS1,WT,,11735,27499,35841788,1.046875
NPHS1,WT,,11735,27500,35841787,0.98046875
NPHS1,WT,,11735,27520,35841767,1.625
NPHS1,WT,,11735,27535,35841752,1.046875
NPHS1,WT,,11735,27536,35841751,1.6875
NPHS1,WT,,11735,29956,35839331,1.078125
NPHS1,WT,,11735,29975,35839312,0.82421875
NPHS1,WT,,11735,29983,35839304,1.078125
NPHS1,WT,,11735,29999,35839288,1.390625
NPHS1,WT,,11735,34584,35834703,1.1875
NPHS1,WT,,9170,3127,35866160,0.71875
NPHS1,WT,,9170,4636,35864651,1.046875
NPHS1,WT,,9170,6319,35862968,0.703125
NPHS1,WT,,9170,7657,35861630,1.171875
NPHS1,WT,,9170,7663,35861624,1.140625
NPHS1,WT,,9170,7714,35861573,0.96875
NPHS1,WT,,9170,8901,35860386,0.734375
NPHS1,WT,,9170,10716,35858571,0.90625
NPHS1,WT,,9170,13937,35855350,2.734375
NPHS1,WT,,9170,16649,35852638,1.125
NPHS1,WT,,9170,16673,35852614,1.90625
NPHS1,WT,,9170,17460,35851827,1.359375
NPHS1,WT,,9170,17493,35851794,2.125
NPHS1,WT,,9170,17508,35851779,2.609375
NPHS1,WT,,9170,17615,35851672,1.421875
NPHS1,WT,,9170,17654,35851633,3.390625
NPHS1,WT,,9170,17693,35851594,3.578125
NPHS1,WT,,9170,17717,35851570,2.140625
NPHS1,WT,,9170,17732,35851555,1.921875
NPHS1,WT,,9170,17759,35851528,2.359375
NPHS1,WT,,9170,17771,35851516,2.953125
NPHS1,WT,,9170,17792,35851495,3.390625
NPHS1,WT,,9170,17816,35851471,4.0
NPHS1,WT,,9170,17828,35851459,0.71875
NPHS1,WT,,9170,17831,35851456,3.765625
NPHS1,WT,,9170,17903,35851384,2.09375
NPHS1,WT,,9170,17969,35851318,2.484375
NPHS1,WT,,9170,17984,35851303,4.0625
NPHS1,WT,,9170,18026,35851261,2.671875
NPHS1,WT,,9170,18234,35851053,3.640625
NPHS1,WT,,9170,18258,35851029,3.921875
NPHS1,WT,,9170,18288,35850999,2.328125
NPHS1,WT,,9170,18336,35850951,0.75
NPHS1,WT,,9170,18738,35850549,3.078125
NPHS1,WT,,9170,18741,35850546,2.515625
NPHS1,WT,,9170,18842,35850445,1.46875
NPHS1,WT,,9170,18845,35850442,3.609375
NPHS1,WT,,9170,18884,35850403,3.203125
NPHS1,WT,,9170,18929,35850358,1.859375
NPHS1,WT,,9170,19083,35850204,0.859375
NPHS1,WT,,9170,19525,35849762,1.296875
NPHS1,WT,,9170,19660,35849627,1.0625
NPHS1,WT,,9170,19753,35849534,0.734375
NPHS1,WT,,9170,19933,35849354,2.921875
NPHS1,WT,,9170,19957,35849330,2.921875
NPHS1,WT,,9170,19969,35849318,3.078125
NPHS1,WT,,9170,19984,35849303,3.828125
NPHS1,WT,,9170,20017,35849270,2.734375
NPHS1,WT,,9170,20020,35849267,2.546875
NPHS1,WT,,9170,20068,35849219,1.1875
NPHS1,WT,,9170,20074,35849213,0.78125
NPHS1,WT,,9170,20144,35849143,3.234375
NPHS1,WT,,9170,20168,35849119,2.421875
NPHS1,WT,,9170,20234,35849053,2.703125
NPHS1,WT,,9170,20276,35849011,3.265625
NPHS1,WT,,9170,20291,35848996,2.328125
NPHS1,WT,,9170,20520,35848767,3.359375
NPHS1,WT,,9170,20610,35848677,3.140625
NPHS1,WT,,9170,20661,35848626,2.609375
NPHS1,WT,,9170,20667,35848620,2.1875
NPHS1,WT,,9170,20891,35848396,2.609375
NPHS1,WT,,9170,20900,35848387,2.21875
NPHS1,WT,,9170,20903,35848384,1.65625
NPHS1,WT,,9170,20954,35848333,2.640625
NPHS1,WT,,9170,21149,35848138,2.796875
NPHS1,WT,,9170,21161,35848126,2.359375
NPHS1,WT,,9170,21179,35848108,2.984375
NPHS1,WT,,9170,21212,35848075,2.640625
NPHS1,WT,,9170,21215,35848072,2.859375
NPHS1,WT,,9170,21251,35848036,2.546875
NPHS1,WT,,9170,21263,35848024,2.328125
NPHS1,WT,,9170,21272,35848015,1.203125
NPHS1,WT,,9170,21281,35848006,0.828125
NPHS1,WT,,9170,22752,35846535,2.578125
NPHS1,WT,,9170,22828,35846459,0.796875
NPHS1,WT,,9170,22876,35846411,0.796875
NPHS1,WT,,9170,22884,35846403,1.34375
NPHS1,WT,,9170,22903,35846384,1.328125
NPHS1,WT,,9170,22946,35846341,1.75
NPHS1,WT,,9170,22949,35846338,1.953125
NPHS1,WT,,9170,22952,35846335,3.109375
NPHS1,WT,,9170,22997,35846290,2.203125
NPHS1,WT,,9170,23020,35846267,3.109375
NPHS1,WT,,9170,23029,35846258,1.96875
NPHS1,WT,,9170,23151,35846136,3.046875
NPHS1,WT,,9170,23169,35846118,3.671875
NPHS1,WT,,9170,23205,35846082,3.046875
NPHS1,WT,,9170,23244,35846043,2.703125
NPHS1,WT,,9170,23286,35846001,1.875
NPHS1,WT,,9170,23540,35845747,2.765625
NPHS1,WT,,9170,23612,35845675,2.296875
NPHS1,WT,,9170,23633,35845654,1.15625
NPHS1,WT,,9170,23755,35845532,2.984375
NPHS1,WT,,9170,23791,35845496,2.515625
NPHS1,WT,,9170,23842,35845445,2.671875
NPHS1,WT,,9170,24846,35844441,2.25
NPHS1,WT,,9170,24882,35844405,3.203125
NPHS1,WT,,9170,24951,35844336,2.1875
NPHS1,WT,,9170,24969,35844318,2.265625
NPHS1,WT,,9170,25047,35844240,4.25
NPHS1,WT,,9170,25050,35844237,3.796875
NPHS1,WT,,9170,25077,35844210,3.078125
NPHS1,WT,,9170,25116,35844171,2.640625
NPHS1,WT,,9170,25149,35844138,3.015625
NPHS1,WT,,9170,25656,35843631,0.78125
NPHS1,WT,,9170,25742,35843545,2.890625
NPHS1,WT,,9170,25745,35843542,2.640625
NPHS1,WT,,9170,25793,35843494,2.15625
NPHS1,WT,,9170,25844,35843443,0.96875
NPHS1,WT,,9170,26636,35842651,1.46875
NPHS1,WT,,9170,26645,35842642,0.84375
NPHS1,WT,,9170,26738,35842549,3.265625
NPHS1,WT,,9170,26789,35842498,3.515625
NPHS1,WT,,9170,26798,35842489,3.703125
NPHS1,WT,,9170,26837,35842450,2.953125
NPHS1,WT,,9170,26864,35842423,2.203125
NPHS1,WT,,9170,26912,35842375,1.390625
NPHS1,WT,,9170,27058,35842229,2.796875
NPHS1,WT,,9170,27100,35842187,2.890625
NPHS1,WT,,9170,27136,35842151,2.09375
NPHS1,WT,,9170,27447,35841840,3.953125
NPHS1,WT,,9170,27450,35841837,3.109375
NPHS1,WT,,9170,27537,35841750,2.171875
NPHS1,WT,,9170,27582,35841705,1.703125
NPHS1,WT,,9170,27757,35841530,0.859375
NPHS1,WT,,9170,29701,35839586,2.734375
NPHS1,WT,,9170,29737,35839550,2.890625
NPHS1,WT,,9170,29755,35839532,2.484375
NPHS1,WT,,9170,29764,35839523,2.25
NPHS1,WT,,9170,29767,35839520,2.171875
NPHS1,WT,,9170,29812,35839475,1.34375
NPHS1,WT,,9170,29815,35839472,1.234375
NPHS1,WT,,9170,29883,35839404,3.609375
NPHS1,WT,,9170,29892,35839395,4.375
NPHS1,WT,,9170,29946,35839341,3.578125
NPHS1,WT,,9170,30000,35839287,1.96875
NPHS1,WT,,9170,30009,35839278,1.96875
NPHS1,WT,,9170,30024,35839263,2.390625
NPHS1,WT,,9170,30051,35839236,3.359375
NPHS1,WT,,9170,30054,35839233,1.34375
NPHS1,WT,,9170,32790,35836497,1.859375
NPHS1,WT,,9170,33526,35835761,1.703125
NPHS1,WT,,9170,33544,35835743,3.046875
NPHS1,WT,,9170,33583,35835704,3.046875
NPHS1,WT,,9170,37525,35831762,1.5625
NPHS1,WT,,9170,37534,35831753,2.828125
NPHS1,WT,,9170,37567,35831720,2.25
NPHS1,WT,,9170,37570,35831717,2.390625
NPHS1,WT,,9170,37603,35831684,1.59375
NPHS1,WT,,9170,37606,35831681,2.546875
NPHS1,WT,,9170,37645,35831642,3.171875
NPHS1,WT,,9170,37684,35831603,2.21875
NPHS1,WT,,9170,37754,35831533,2.140625
NPHS1,WT,,9170,37787,35831500,2.296875
NPHS1,WT,,9170,37811,35831476,2.640625
NPHS1,WT,,9170,37966,35831321,3.109375
NPHS1,WT,,9170,38235,35831052,3.015625
NPHS1,WT,,9170,38331,35830956,2.453125
NPHS1,WT,,9170,38340,35830947,2.953125
NPHS1,WT,,9170,38367,35830920,2.953125
NPHS1,WT,,9170,38409,35830878,2.578125
NPHS1,WT,,9170,38418,35830869,2.484375
NPHS1,WT,,9170,38954,35830333,1.4375
NPHS1,WT,,9170,38987,35830300,1.03125
NPHS1,WT,,9170,38990,35830297,1.046875
NPHS1,WT,,9170,38993,35830294,0.734375
NPHS1,WT,,9170,39011,35830276,0.734375
NPHS1,WT,,9170,39017,35830270,1.375
NPHS1,WT,,9170,40267,35829020,1.34375
NPHS1,WT,,9170,40407,35828880,2.390625
NPHS1,WT,,9170,41175,35828112,0.84375
NPHS1,WT,,9170,41250,35828037,1.234375
NPHS1,WT,,9170,42602,35826685,1.015625
NPHS1,WT,,9170,42643,35826644,2.640625
NPHS1,WT,,9170,42691,35826596,3.328125
NPHS1,WT,,9170,42712,35826575,2.609375
NPHS1,WT,,9170,42760,35826527,3.046875
NPHS1,WT,,9170,42846,35826441,2.828125
NPHS1,WT,,9170,42855,35826432,3.390625
NPHS1,WT,,5026,2,35869285,2.671875
NPHS1,WT,,5026,3,35869284,3.609375
NPHS1,WT,,5026,24,35869263,0.96875
NPHS1,WT,,5026,3039,35866248,0.7109375
NPHS1,WT,,5026,3042,35866245,0.765625
NPHS1,WT,,5026,3045,35866242,0.6953125
NPHS1,WT,,5026,6712,35862575,0.78125
NPHS1,WT,,5026,6715,35862572,0.7265625
NPHS1,WT,,5026,7270,35862017,0.7109375
NPHS1,WT,,5026,7276,35862011,0.71875
NPHS1,WT,,5026,7285,35862002,0.90625
NPHS1,WT,,5026,7297,35861990,0.78125
NPHS1,WT,,5026,7730,35861557,0.7578125
NPHS1,WT,,5026,8050,35861237,0.796875
NPHS1,WT,,5026,8056,35861231,0.78125
NPHS1,WT,,5026,8257,35861030,1.1875
NPHS1,WT,,5026,8285,35861002,0.7578125
NPHS1,WT,,5026,8291,35860996,0.8125
NPHS1,WT,,5026,8645,35860642,0.828125
NPHS1,WT,,5026,8753,35860534,0.8125
NPHS1,WT,,5026,8984,35860303,0.78125
NPHS1,WT,,5026,9711,35859576,0.9375
NPHS1,WT,,5026,9717,35859570,0.7109375
NPHS1,WT,,5026,9787,35859500,0.78125
NPHS1,WT,,5026,10429,35858858,0.78125
NPHS1,WT,,5026,10450,35858837,0.75
NPHS1,WT,,5026,10462,35858825,0.8125
NPHS1,WT,,5026,10478,35858809,0.7109375
NPHS1,WT,,5026,10484,35858803,0.859375
NPHS1,WT,,5026,10501,35858786,0.796875
NPHS1,WT,,5026,10520,35858767,0.7109375
NPHS1,WT,,5026,10547,35858740,0.734375
NPHS1,WT,,5026,10567,35858720,0.9375
NPHS1,WT,,5026,10675,35858612,0.890625
NPHS1,WT,,5026,10758,35858529,0.890625
NPHS1,WT,,5026,11809,35857478,1.09375
NPHS1,WT,,5026,11818,35857469,0.8125
NPHS1,WT,,5026,11908,35857379,0.734375
NPHS1,WT,,5026,12123,35857164,0.8125
NPHS1,WT,,5026,12129,35857158,0.984375
NPHS1,WT,,5026,12132,35857155,1.09375
NPHS1,WT,,5026,12135,35857152,1.078125
NPHS1,WT,,5026,12141,35857146,0.734375
NPHS1,WT,,5026,13930,35855357,2.09375
NPHS1,WT,,5026,13936,35855351,2.0625
NPHS1,WT,,5026,13939,35855348,1.421875
NPHS1,WT,,5026,17492,35851795,1.234375
NPHS1,WT,,5026,17504,35851783,1.265625
NPHS1,WT,,5026,17507,35851780,0.890625
NPHS1,WT,,5026,17620,35851667,1.453125
NPHS1,WT,,5026,17629,35851658,2.15625
NPHS1,WT,,5026,17638,35851649,2.515625
NPHS1,WT,,5026,17644,35851643,2.515625
NPHS1,WT,,5026,17653,35851634,2.734375
NPHS1,WT,,5026,17662,35851625,2.0
NPHS1,WT,,5026,17671,35851616,2.421875
NPHS1,WT,,5026,17683,35851604,2.53125
NPHS1,WT,,5026,17686,35851601,2.75
NPHS1,WT,,5026,17689,35851598,2.6875
NPHS1,WT,,5026,17692,35851595,2.28125
NPHS1,WT,,5026,17695,35851592,2.046875
NPHS1,WT,,5026,17701,35851586,1.78125
NPHS1,WT,,5026,17704,35851583,2.546875
NPHS1,WT,,5026,17716,35851571,2.015625
NPHS1,WT,,5026,17719,35851568,2.046875
NPHS1,WT,,5026,17731,35851556,2.328125
NPHS1,WT,,5026,17737,35851550,1.90625
NPHS1,WT,,5026,17740,35851547,2.75
NPHS1,WT,,5026,17749,35851538,2.15625
NPHS1,WT,,5026,17755,35851532,1.328125
NPHS1,WT,,5026,17758,35851529,1.84375
NPHS1,WT,,5026,17770,35851517,1.34375
NPHS1,WT,,5026,17776,35851511,2.28125
NPHS1,WT,,5026,17791,35851496,2.03125
NPHS1,WT,,5026,17812,35851475,2.671875
NPHS1,WT,,5026,17815,35851472,2.109375
NPHS1,WT,,5026,17818,35851469,1.890625
NPHS1,WT,,5026,17824,35851463,2.203125
NPHS1,WT,,5026,17830,35851457,1.796875
NPHS1,WT,,5026,17902,35851385,1.78125
NPHS1,WT,,5026,17905,35851382,2.890625
NPHS1,WT,,5026,17923,35851364,2.484375
NPHS1,WT,,5026,17926,35851361,3.171875
NPHS1,WT,,5026,17932,35851355,2.375
NPHS1,WT,,5026,17941,35851346,2.296875
NPHS1,WT,,5026,17944,35851343,2.4375
NPHS1,WT,,5026,17947,35851340,2.015625
NPHS1,WT,,5026,17950,35851337,2.484375
