gene,condition,protein_change,feature,array_offset,genomic_pos,activation
LORICRIN,WT,,9170,1324,153261011,3.796875
LORICRIN,WT,,9170,1327,153261014,3.609375
LORICRIN,WT,,9170,1330,153261017,3.421875
LORICRIN,WT,,9170,1333,153261020,3.265625
LORICRIN,WT,,9170,1336,153261023,3.046875
LORICRIN,WT,,9170,1339,153261026,2.734375
LORICRIN,WT,,9170,1342,153261029,2.640625
LORICRIN,WT,,9170,1345,153261032,2.28125
LORICRIN,WT,,9170,1351,153261038,2.359375
LORICRIN,WT,,9170,1354,153261041,2.203125
LORICRIN,WT,,9170,1357,153261044,2.015625
LORICRIN,WT,,9170,1360,153261047,1.9375
LORICRIN,WT,,9170,1366,153261053,2.28125
LORICRIN,WT,,9170,1375,153261062,2.484375
LORICRIN,WT,,9170,1378,153261065,1.9375
LORICRIN,WT,,9170,1381,153261068,1.765625
LORICRIN,WT,,9170,1384,153261071,1.578125
LORICRIN,WT,,9170,1390,153261077,2.640625
LORICRIN,WT,,9170,1393,153261080,2.609375
LORICRIN,WT,,9170,1396,153261083,1.6875
LORICRIN,WT,,9170,1405,153261092,1.953125
LORICRIN,WT,,9170,1411,153261098,2.0625
LORICRIN,WT,,9170,1417,153261104,1.5625
LORICRIN,WT,,9170,1426,153261113,2.015625
LORICRIN,WT,,9170,1429,153261116,1.90625
LORICRIN,WT,,9170,1432,153261119,1.375
LORICRIN,WT,,9170,1435,153261122,1.34375
LORICRIN,WT,,9170,1444,153261131,1.609375
LORICRIN,WT,,9170,1447,153261134,1.828125
LORICRIN,WT,,9170,1450,153261137,1.25
LORICRIN,WT,,9170,1456,153261143,1.453125
LORICRIN,WT,,9170,1459,153261146,1.359375
LORICRIN,WT,,9170,1462,153261149,1.515625
LORICRIN,WT,,9170,1471,153261158,1.578125
LORICRIN,WT,,9170,1474,153261161,1.59375
LORICRIN,WT,,9170,1477,153261164,1.015625
LORICRIN,WT,,9170,1480,153261167,1.546875
LORICRIN,WT,,9170,1483,153261170,1.3125
LORICRIN,WT,,9170,1486,153261173,1.671875
LORICRIN,WT,,9170,1489,153261176,1.046875
LORICRIN,WT,,9170,1495,153261182,1.984375
LORICRIN,WT,,9170,1498,153261185,1.875
