gene,condition,protein_change,feature,array_offset,genomic_pos,activation
CNBP,WT,,11735,1,129184007,0.87109375
CNBP,WT,,11735,57,129183951,0.73046875
CNBP,WT,,11735,773,129183235,0.73046875
CNBP,WT,,11735,774,129183234,0.66796875
CNBP,WT,,11735,8322,129175686,0.74609375
CNBP,WT,,11735,12287,129171721,0.78515625
CNBP,WT,,11735,12305,129171703,0.80859375
CNBP,WT,,11735,12347,129171661,1.40625
CNBP,WT,,11735,12350,129171658,0.78515625
CNBP,WT,,11735,12353,129171655,1.3125
CNBP,WT,,11735,12356,129171652,1.015625
CNBP,WT,,11735,12362,129171646,0.92578125
CNBP,WT,,11735,12374,129171634,0.77734375
CNBP,WT,,11735,12469,129171539,0.70703125
CNBP,WT,,11735,12514,129171494,0.77734375
CNBP,WT,,11735,12517,129171491,2.125
CNBP,WT,,11735,12525,129171483,1.421875
CNBP,WT,,11735,12526,129171482,1.65625
CNBP,WT,,11735,12529,129171479,1.28125
CNBP,WT,,11735,12544,129171464,1.703125
CNBP,WT,,11735,12745,129171263,2.421875
CNBP,WT,,11735,12754,129171254,1.390625
CNBP,WT,,11735,12757,129171251,1.0
CNBP,WT,,11735,12762,129171246,0.90234375
CNBP,WT,,11735,12772,129171236,1.171875
CNBP,WT,,11735,12814,129171194,1.125
CNBP,WT,,11735,12817,129171191,1.890625
CNBP,WT,,11735,12825,129171183,1.390625
CNBP,WT,,11735,12826,129171182,1.828125
CNBP,WT,,11735,12834,129171174,0.96484375
CNBP,WT,,11735,12844,129171164,1.640625
CNBP,WT,,11735,12880,129171128,1.453125
CNBP,WT,,11735,12889,129171119,0.80078125
CNBP,WT,,11735,12907,129171101,0.85546875
CNBP,WT,,11735,13442,129170566,2.4375
CNBP,WT,,11735,13450,129170558,1.125
CNBP,WT,,11735,13451,129170557,2.28125
CNBP,WT,,11735,13454,129170554,0.83984375
CNBP,WT,,11735,13469,129170539,1.1875
CNBP,WT,,11735,13502,129170506,1.171875
CNBP,WT,,11735,13513,129170495,1.171875
CNBP,WT,,11735,13514,129170494,1.984375
CNBP,WT,,11735,13532,129170476,2.203125
CNBP,WT,,11735,13571,129170437,0.67578125
CNBP,WT,,9170,368,129183640,0.796875
CNBP,WT,,9170,401,129183607,1.875
CNBP,WT,,9170,422,129183586,1.78125
CNBP,WT,,9170,459,129183549,0.734375
CNBP,WT,,9170,476,129183532,1.40625
CNBP,WT,,9170,1578,129182430,0.890625
CNBP,WT,,9170,3320,129180688,1.109375
CNBP,WT,,9170,4583,129179425,1.015625
CNBP,WT,,9170,12279,129171729,3.546875
CNBP,WT,,9170,12288,129171720,2.984375
CNBP,WT,,9170,12300,129171708,0.921875
CNBP,WT,,9170,12315,129171693,3.515625
CNBP,WT,,9170,12318,129171690,3.296875
CNBP,WT,,9170,12321,129171687,3.359375
CNBP,WT,,9170,12327,129171681,4.125
CNBP,WT,,9170,12330,129171678,0.703125
CNBP,WT,,9170,12333,129171675,3.609375
CNBP,WT,,9170,12348,129171660,2.609375
CNBP,WT,,9170,12354,129171654,2.671875
CNBP,WT,,9170,12357,129171651,2.296875
CNBP,WT,,9170,12375,129171633,2.515625
CNBP,WT,,9170,12470,129171538,1.921875
CNBP,WT,,9170,12518,129171490,2.203125
CNBP,WT,,9170,12527,129171481,2.296875
CNBP,WT,,9170,12563,129171445,2.328125
CNBP,WT,,9170,12746,129171262,2.640625
CNBP,WT,,9170,12752,129171256,2.921875
CNBP,WT,,9170,12755,129171253,3.046875
CNBP,WT,,9170,12818,129171190,1.90625
CNBP,WT,,9170,12827,129171181,2.890625
CNBP,WT,,9170,12839,129171169,0.9375
CNBP,WT,,9170,12881,129171127,2.609375
CNBP,WT,,9170,12890,129171118,2.640625
CNBP,WT,,9170,13443,129170565,1.640625
CNBP,WT,,9170,13452,129170556,2.703125
CNBP,WT,,9170,13506,129170502,1.9375
CNBP,WT,,9170,13515,129170493,2.390625
CNBP,WT,,5026,1,129184007,1.96875
CNBP,WT,,5026,20,129183988,1.484375
CNBP,WT,,5026,23,129183985,1.234375
CNBP,WT,,5026,394,129183614,0.84375
CNBP,WT,,5026,1736,129182272,0.765625
CNBP,WT,,5026,2302,129181706,1.203125
CNBP,WT,,5026,4582,129179426,1.953125
CNBP,WT,,5026,6380,129177628,1.1875
CNBP,WT,,5026,6967,129177041,1.078125
CNBP,WT,,5026,6970,129177038,1.640625
CNBP,WT,,5026,10377,129173631,0.6796875
CNBP,WT,,5026,12263,129171745,1.484375
CNBP,WT,,5026,12278,129171730,1.703125
CNBP,WT,,5026,12287,129171721,1.3125
CNBP,WT,,5026,12296,129171712,1.71875
CNBP,WT,,5026,12302,129171706,2.0
CNBP,WT,,5026,12314,129171694,2.390625
CNBP,WT,,5026,12317,129171691,2.078125
CNBP,WT,,5026,12320,129171688,2.671875
CNBP,WT,,5026,12326,129171682,2.09375
CNBP,WT,,5026,12332,129171676,2.390625
CNBP,WT,,5026,12347,129171661,2.0625
CNBP,WT,,5026,12353,129171655,1.734375
CNBP,WT,,5026,12356,129171652,1.578125
CNBP,WT,,5026,12368,129171640,2.25
CNBP,WT,,5026,12374,129171634,1.8125
CNBP,WT,,5026,12469,129171539,1.25
CNBP,WT,,5026,12481,129171527,2.6875
CNBP,WT,,5026,12499,129171509,2.21875
CNBP,WT,,5026,12517,129171491,1.921875
CNBP,WT,,5026,12520,129171488,2.015625
CNBP,WT,,5026,12526,129171482,2.1875
CNBP,WT,,5026,12535,129171473,1.734375
CNBP,WT,,5026,12541,129171467,1.5625
CNBP,WT,,5026,12547,129171461,1.609375
CNBP,WT,,5026,12556,129171452,2.15625
CNBP,WT,,5026,12559,129171449,1.84375
CNBP,WT,,5026,12562,129171446,1.046875
CNBP,WT,,5026,12730,129171278,1.265625
CNBP,WT,,5026,12745,129171263,2.859375
CNBP,WT,,5026,12751,129171257,3.015625
CNBP,WT,,5026,12754,129171254,2.671875
CNBP,WT,,5026,12763,129171245,1.6875
CNBP,WT,,5026,12769,129171239,1.953125
CNBP,WT,,5026,12778,129171230,1.953125
CNBP,WT,,5026,12790,129171218,2.640625
CNBP,WT,,5026,12796,129171212,2.1875
CNBP,WT,,5026,12817,129171191,1.953125
CNBP,WT,,5026,12826,129171182,1.09375
CNBP,WT,,5026,12835,129171173,1.703125
CNBP,WT,,5026,12841,129171167,2.109375
CNBP,WT,,5026,12847,129171161,1.859375
CNBP,WT,,5026,12853,129171155,1.9375
CNBP,WT,,5026,12856,129171152,2.40625
CNBP,WT,,5026,12859,129171149,2.28125
CNBP,WT,,5026,12880,129171128,2.203125
CNBP,WT,,5026,12883,129171125,2.125
CNBP,WT,,5026,12889,129171119,1.109375
CNBP,WT,,5026,12904,129171104,1.78125
CNBP,WT,,5026,12916,129171092,1.671875
CNBP,WT,,5026,13442,129170566,2.375
CNBP,WT,,5026,13445,129170563,2.046875
CNBP,WT,,5026,13451,129170557,2.046875
CNBP,WT,,5026,13457,129170551,1.890625
CNBP,WT,,5026,13460,129170548,1.734375
CNBP,WT,,5026,13484,129170524,1.6875
CNBP,WT,,5026,13487,129170521,2.359375
CNBP,WT,,5026,13505,129170503,1.96875
CNBP,WT,,5026,13508,129170500,1.546875
CNBP,WT,,5026,13514,129170494,1.328125
CNBP,WT,,5026,13523,129170485,1.078125
CNBP,WT,,5026,13529,129170479,1.75
CNBP,WT,,5026,13541,129170467,1.546875
CNBP,WT,,5026,13544,129170464,1.859375
CNBP,WT,,5026,13550,129170458,1.953125
