gene,condition,protein_change,feature,array_offset,genomic_pos,activation
APOL1,WT,,11735,650,36253721,0.77734375
APOL1,WT,,11735,1552,36254623,0.83984375
APOL1,WT,,11735,11786,36264857,0.85546875
APOL1,WT,,9170,1888,36254959,1.28125
APOL1,WT,,9170,1891,36254962,1.078125
APOL1,WT,,9170,1892,36254963,1.296875
APOL1,WT,,9170,2080,36255151,1.453125
APOL1,WT,,9170,2113,36255184,1.9375
APOL1,WT,,9170,2143,36255214,0.78125
APOL1,WT,,9170,2155,36255226,0.875
APOL1,WT,,9170,2190,36255261,1.265625
APOL1,WT,,9170,2199,36255270,0.921875
APOL1,WT,,9170,2223,36255294,1.21875
APOL1,WT,,9170,2457,36255528,3.359375
APOL1,WT,,9170,2463,36255534,3.234375
APOL1,WT,,9170,4032,36257103,3.015625
APOL1,WT,,9170,4038,36257109,3.828125
APOL1,WT,,9170,4059,36257130,2.890625
APOL1,WT,,9170,4272,36257343,1.375
APOL1,WT,,9170,4314,36257385,3.421875
APOL1,WT,,9170,4534,36257605,0.9375
APOL1,WT,,9170,4741,36257812,3.296875
APOL1,WT,,9170,6686,36259757,2.25
APOL1,WT,,9170,8624,36261695,2.359375
APOL1,WT,,9170,9263,36262334,3.703125
APOL1,WT,,9170,9971,36263042,1.03125
APOL1,WT,,9170,11479,36264550,0.96875
APOL1,WT,,9170,12163,36265234,4.0
APOL1,WT,,9170,12256,36265327,3.140625
APOL1,WT,,9170,12277,36265348,2.828125
APOL1,WT,,9170,12304,36265375,4.1875
APOL1,WT,,9170,12325,36265396,3.890625
APOL1,WT,,9170,12343,36265414,3.015625
APOL1,WT,,9170,12349,36265420,3.046875
APOL1,WT,,9170,12370,36265441,3.421875
APOL1,WT,,9170,12373,36265444,3.328125
APOL1,WT,,9170,12382,36265453,0.765625
APOL1,WT,,9170,12397,36265468,4.4375
APOL1,WT,,9170,12409,36265480,4.75
APOL1,WT,,9170,12430,36265501,2.953125
APOL1,WT,,9170,12457,36265528,2.359375
APOL1,WT,,9170,12541,36265612,2.984375
APOL1,WT,,9170,12574,36265645,3.203125
APOL1,WT,,9170,12598,36265669,3.078125
APOL1,WT,,9170,12604,36265675,2.984375
APOL1,WT,,9170,12709,36265780,3.234375
APOL1,WT,,9170,12760,36265831,3.171875
APOL1,WT,,9170,12850,36265921,3.328125
APOL1,WT,,9170,12970,36266041,1.140625
APOL1,WT,,5026,70,36253141,1.578125
APOL1,WT,,5026,73,36253144,2.015625
APOL1,WT,,5026,794,36253865,1.390625
APOL1,WT,,5026,797,36253868,0.9375
APOL1,WT,,5026,1887,36254958,0.90625
APOL1,WT,,5026,2106,36255177,1.078125
APOL1,WT,,5026,2456,36255527,1.421875
APOL1,WT,,5026,2462,36255533,2.21875
APOL1,WT,,5026,4019,36257090,1.40625
APOL1,WT,,5026,4031,36257102,2.21875
APOL1,WT,,5026,4034,36257105,2.203125
APOL1,WT,,5026,4037,36257108,2.265625
APOL1,WT,,5026,4040,36257111,2.171875
APOL1,WT,,5026,4046,36257117,1.578125
APOL1,WT,,5026,4049,36257120,1.484375
APOL1,WT,,5026,4295,36257366,1.90625
APOL1,WT,,5026,4313,36257384,1.421875
APOL1,WT,,5026,4322,36257393,1.921875
APOL1,WT,,5026,4337,36257408,2.0
APOL1,WT,,5026,4340,36257411,1.3125
APOL1,WT,,5026,4542,36257613,1.328125
APOL1,WT,,5026,4548,36257619,0.9375
APOL1,WT,,5026,4740,36257811,2.703125
APOL1,WT,,5026,4761,36257832,1.59375
APOL1,WT,,5026,5066,36258137,1.984375
APOL1,WT,,5026,5069,36258140,2.0625
APOL1,WT,,5026,6685,36259756,0.828125
APOL1,WT,,5026,8605,36261676,1.859375
APOL1,WT,,5026,8611,36261682,2.109375
APOL1,WT,,5026,8614,36261685,2.046875
APOL1,WT,,5026,8623,36261694,1.703125
APOL1,WT,,5026,8629,36261700,2.046875
APOL1,WT,,5026,8632,36261703,2.359375
APOL1,WT,,5026,8635,36261706,2.34375
APOL1,WT,,5026,8638,36261709,2.296875
APOL1,WT,,5026,8641,36261712,2.234375
APOL1,WT,,5026,8656,36261727,0.90625
APOL1,WT,,5026,9229,36262300,0.84375
APOL1,WT,,5026,9232,36262303,1.71875
APOL1,WT,,5026,9241,36262312,2.40625
APOL1,WT,,5026,9256,36262327,1.390625
APOL1,WT,,5026,9262,36262333,2.046875
APOL1,WT,,5026,9756,36262827,2.53125
