gene,condition,protein_change,feature,array_offset,genomic_pos,activation
LAMB2,WT,,11735,1,49133117,0.86328125
LAMB2,WT,,11735,1440,49131678,1.28125
LAMB2,WT,,11735,2294,49130824,0.76953125
LAMB2,WT,,11735,2321,49130797,0.91015625
LAMB2,WT,,11735,2330,49130788,0.82421875
LAMB2,WT,,11735,2809,49130309,1.171875
LAMB2,WT,,11735,2818,49130300,1.03125
LAMB2,WT,,11735,2827,49130291,1.234375
LAMB2,WT,,11735,2835,49130283,0.78515625
LAMB2,WT,,11735,2836,49130282,1.265625
LAMB2,WT,,11735,3120,49129998,0.84765625
LAMB2,WT,,11735,3201,49129917,1.640625
LAMB2,WT,,11735,3209,49129909,1.671875
LAMB2,WT,,11735,3210,49129908,1.984375
LAMB2,WT,,11735,3219,49129899,1.21875
LAMB2,WT,,11735,3228,49129890,1.453125
LAMB2,WT,,11735,3237,49129881,1.859375
LAMB2,WT,,11735,3246,49129872,1.671875
LAMB2,WT,,11735,3404,49129714,1.15625
LAMB2,WT,,11735,3410,49129708,1.09375
LAMB2,WT,,11735,3421,49129697,0.90234375
LAMB2,WT,,11735,3422,49129696,1.0625
LAMB2,WT,,11735,3467,49129651,0.90234375
LAMB2,WT,,11735,3490,49129628,0.90234375
LAMB2,WT,,11735,3491,49129627,1.484375
LAMB2,WT,,11735,3500,49129618,0.73828125
LAMB2,WT,,11735,3509,49129609,1.765625
LAMB2,WT,,11735,3797,49129321,1.296875
LAMB2,WT,,11735,3806,49129312,1.140625
LAMB2,WT,,11735,3839,49129279,1.015625
LAMB2,WT,,11735,3848,49129270,0.79296875
LAMB2,WT,,11735,3967,49129151,1.234375
LAMB2,WT,,11735,3988,49129130,0.87890625
LAMB2,WT,,11735,3994,49129124,1.9375
LAMB2,WT,,11735,4003,49129115,1.078125
LAMB2,WT,,11735,4011,49129107,1.515625
LAMB2,WT,,11735,4012,49129106,2.59375
LAMB2,WT,,11735,4021,49129097,0.96484375
LAMB2,WT,,11735,5175,49127943,0.75390625
LAMB2,WT,,11735,5215,49127903,1.140625
LAMB2,WT,,11735,5611,49127507,0.73828125
LAMB2,WT,,11735,7293,49125825,1.765625
LAMB2,WT,,11735,7301,49125817,0.92578125
LAMB2,WT,,11735,7302,49125816,2.8125
LAMB2,WT,,11735,7310,49125808,1.34375
LAMB2,WT,,11735,7311,49125807,2.109375
LAMB2,WT,,11735,7319,49125799,0.80859375
LAMB2,WT,,11735,7320,49125798,1.890625
LAMB2,WT,,11735,7329,49125789,2.109375
LAMB2,WT,,11735,7337,49125781,0.83203125
LAMB2,WT,,11735,7338,49125780,2.15625
LAMB2,WT,,11735,7347,49125771,1.703125
LAMB2,WT,,11735,7353,49125765,1.015625
LAMB2,WT,,11735,7642,49125476,2.109375
LAMB2,WT,,11735,7651,49125467,0.80078125
LAMB2,WT,,11735,7654,49125464,1.359375
LAMB2,WT,,11735,7663,49125455,0.97265625
LAMB2,WT,,11735,7672,49125446,1.359375
LAMB2,WT,,11735,7687,49125431,1.171875
LAMB2,WT,,11735,7690,49125428,0.84765625
LAMB2,WT,,11735,7693,49125425,2.765625
LAMB2,WT,,11735,7699,49125419,2.28125
LAMB2,WT,,11735,7707,49125411,0.98046875
LAMB2,WT,,11735,7708,49125410,2.78125
LAMB2,WT,,11735,7716,49125402,1.078125
LAMB2,WT,,11735,7717,49125401,2.15625
LAMB2,WT,,11735,7723,49125395,0.89453125
LAMB2,WT,,11735,7726,49125392,2.125
LAMB2,WT,,11735,7735,49125383,2.671875
LAMB2,WT,,11735,7737,49125381,0.80078125
LAMB2,WT,,11735,7743,49125375,1.078125
LAMB2,WT,,11735,7744,49125374,1.84375
LAMB2,WT,,11735,7752,49125366,0.91015625
LAMB2,WT,,11735,7753,49125365,0.95703125
LAMB2,WT,,11735,7774,49125344,0.95703125
LAMB2,WT,,11735,7780,49125338,1.953125
LAMB2,WT,,11735,7792,49125326,0.75390625
LAMB2,WT,,11735,7816,49125302,0.96484375
LAMB2,WT,,11735,7822,49125296,0.89453125
LAMB2,WT,,11735,7858,49125260,1.203125
LAMB2,WT,,11735,7867,49125251,1.1875
LAMB2,WT,,11735,7876,49125242,0.98828125
LAMB2,WT,,11735,7950,49125168,2.28125
LAMB2,WT,,11735,7959,49125159,2.171875
LAMB2,WT,,11735,7967,49125151,1.046875
LAMB2,WT,,11735,7968,49125150,1.515625
LAMB2,WT,,11735,8007,49125111,1.015625
LAMB2,WT,,11735,8013,49125105,1.25
LAMB2,WT,,11735,8103,49125015,2.171875
LAMB2,WT,,11735,8111,49125007,1.640625
LAMB2,WT,,11735,8112,49125006,1.796875
LAMB2,WT,,11735,8192,49124926,1.5
LAMB2,WT,,11735,8201,49124917,2.234375
LAMB2,WT,,11735,8210,49124908,1.265625
LAMB2,WT,,11735,8219,49124899,2.75
LAMB2,WT,,11735,8227,49124891,0.97265625
LAMB2,WT,,11735,8228,49124890,1.90625
LAMB2,WT,,11735,8255,49124863,1.046875
LAMB2,WT,,11735,8264,49124854,1.03125
LAMB2,WT,,11735,8275,49124843,0.73046875
LAMB2,WT,,11735,8281,49124837,0.96484375
LAMB2,WT,,11735,8321,49124797,0.77734375
LAMB2,WT,,11735,8327,49124791,1.0625
LAMB2,WT,,11735,8336,49124782,0.74609375
LAMB2,WT,,11735,8351,49124767,0.76171875
LAMB2,WT,,11735,8363,49124755,1.65625
LAMB2,WT,,11735,8372,49124746,2.0625
LAMB2,WT,,11735,8381,49124737,2.53125
LAMB2,WT,,11735,8390,49124728,0.85546875
LAMB2,WT,,11735,8514,49124604,1.546875
LAMB2,WT,,11735,8526,49124592,1.046875
LAMB2,WT,,11735,8544,49124574,1.0625
LAMB2,WT,,11735,8603,49124515,1.15625
LAMB2,WT,,11735,8604,49124514,1.84375
LAMB2,WT,,11735,8612,49124506,0.89453125
LAMB2,WT,,11735,8613,49124505,1.34375
LAMB2,WT,,11735,8622,49124496,0.77734375
LAMB2,WT,,11735,8631,49124487,2.078125
LAMB2,WT,,11735,8639,49124479,1.09375
LAMB2,WT,,11735,8640,49124478,1.734375
LAMB2,WT,,11735,8679,49124439,1.28125
LAMB2,WT,,11735,8685,49124433,1.171875
LAMB2,WT,,11735,8715,49124403,0.94921875
LAMB2,WT,,11735,8832,49124286,1.21875
LAMB2,WT,,11735,8838,49124280,0.90234375
LAMB2,WT,,11735,8844,49124274,0.81640625
LAMB2,WT,,11735,8850,49124268,1.984375
LAMB2,WT,,11735,8859,49124259,2.171875
LAMB2,WT,,11735,8868,49124250,1.421875
LAMB2,WT,,11735,8877,49124241,1.5
LAMB2,WT,,11735,8886,49124232,1.515625
LAMB2,WT,,11735,8894,49124224,0.90234375
LAMB2,WT,,11735,8895,49124223,1.65625
LAMB2,WT,,11735,8922,49124196,1.125
LAMB2,WT,,11735,9020,49124098,1.34375
LAMB2,WT,,11735,9026,49124092,1.140625
LAMB2,WT,,11735,9035,49124083,0.81640625
LAMB2,WT,,11735,9038,49124080,1.5
LAMB2,WT,,11735,9056,49124062,1.09375
LAMB2,WT,,11735,9077,49124041,1.328125
LAMB2,WT,,11735,9083,49124035,2.34375
LAMB2,WT,,11735,9091,49124027,0.97265625
LAMB2,WT,,11735,9092,49124026,2.34375
LAMB2,WT,,11735,9100,49124018,1.734375
LAMB2,WT,,11735,9101,49124017,2.9375
LAMB2,WT,,11735,9110,49124008,2.40625
LAMB2,WT,,11735,9116,49124002,0.84765625
LAMB2,WT,,11735,9119,49123999,3.59375
LAMB2,WT,,11735,9127,49123991,1.296875
LAMB2,WT,,11735,9128,49123990,2.0
LAMB2,WT,,11735,9136,49123982,0.91796875
LAMB2,WT,,11735,9137,49123981,1.890625
LAMB2,WT,,11735,9161,49123957,1.28125
LAMB2,WT,,11735,10150,49122968,0.77734375
LAMB2,WT,,9170,276,49132842,2.453125
LAMB2,WT,,9170,312,49132806,2.671875
LAMB2,WT,,9170,327,49132791,2.953125
LAMB2,WT,,9170,500,49132618,3.265625
LAMB2,WT,,9170,512,49132606,3.453125
LAMB2,WT,,9170,533,49132585,3.828125
LAMB2,WT,,9170,548,49132570,3.453125
LAMB2,WT,,9170,584,49132534,3.765625
LAMB2,WT,,9170,593,49132525,3.859375
LAMB2,WT,,9170,638,49132480,1.0
LAMB2,WT,,9170,644,49132474,0.96875
LAMB2,WT,,9170,662,49132456,1.34375
LAMB2,WT,,9170,849,49132269,2.921875
LAMB2,WT,,9170,861,49132257,0.75
LAMB2,WT,,9170,929,49132189,3.640625
LAMB2,WT,,9170,1019,49132099,1.109375
LAMB2,WT,,9170,1061,49132057,1.484375
LAMB2,WT,,9170,1441,49131677,2.828125
LAMB2,WT,,9170,1483,49131635,2.265625
LAMB2,WT,,9170,1498,49131620,2.890625
LAMB2,WT,,9170,1579,49131539,3.671875
LAMB2,WT,,9170,1594,49131524,0.796875
LAMB2,WT,,9170,1786,49131332,1.46875
LAMB2,WT,,9170,1828,49131290,1.09375
LAMB2,WT,,9170,2020,49131098,3.171875
LAMB2,WT,,9170,2095,49131023,2.765625
LAMB2,WT,,9170,2113,49131005,2.359375
LAMB2,WT,,9170,2143,49130975,3.515625
LAMB2,WT,,9170,2164,49130954,3.921875
LAMB2,WT,,9170,2176,49130942,1.0625
LAMB2,WT,,9170,2265,49130853,5.25
LAMB2,WT,,9170,2295,49130823,3.140625
LAMB2,WT,,9170,2358,49130760,2.484375
