gene,condition,protein_change,feature,array_offset,genomic_pos,activation
DMPK,WT,,11735,1718,45781076,0.82421875
DMPK,WT,,11735,3001,45779793,0.76953125
DMPK,WT,,11735,3002,45779792,2.625
DMPK,WT,,11735,3004,45779790,0.75390625
DMPK,WT,,11735,3005,45779789,0.89453125
DMPK,WT,,11735,3010,45779784,2.375
DMPK,WT,,11735,3011,45779783,1.640625
DMPK,WT,,11735,3016,45779778,1.734375
DMPK,WT,,11735,3318,45779476,0.69921875
DMPK,WT,,11735,3491,45779303,0.75390625
DMPK,WT,,11735,4158,45778636,0.80859375
DMPK,WT,,11735,4164,45778630,1.265625
DMPK,WT,,11735,4177,45778617,1.421875
DMPK,WT,,11735,4179,45778615,1.5
DMPK,WT,,11735,4180,45778614,0.99609375
DMPK,WT,,11735,4263,45778531,0.83203125
DMPK,WT,,11735,4288,45778506,1.421875
DMPK,WT,,11735,4300,45778494,2.25
DMPK,WT,,11735,4302,45778492,1.203125
DMPK,WT,,11735,4581,45778213,1.1875
DMPK,WT,,11735,4582,45778212,1.046875
DMPK,WT,,11735,4584,45778210,0.73046875
DMPK,WT,,11735,4586,45778208,1.9375
DMPK,WT,,11735,4587,45778207,0.75390625
DMPK,WT,,11735,4590,45778204,0.97265625
DMPK,WT,,11735,4596,45778198,0.75390625
DMPK,WT,,11735,4601,45778193,0.85546875
DMPK,WT,,11735,4611,45778183,1.03125
DMPK,WT,,11735,4629,45778165,0.97265625
DMPK,WT,,11735,4635,45778159,3.359375
DMPK,WT,,11735,4640,45778154,0.83203125
DMPK,WT,,11735,4641,45778153,0.99609375
DMPK,WT,,11735,4950,45777844,0.70703125
DMPK,WT,,11735,4951,45777843,0.82421875
DMPK,WT,,11735,4959,45777835,0.95703125
DMPK,WT,,11735,4965,45777829,2.109375
DMPK,WT,,11735,4967,45777827,1.109375
DMPK,WT,,11735,5030,45777764,1.484375
DMPK,WT,,11735,5037,45777757,2.09375
DMPK,WT,,11735,5038,45777756,2.0625
DMPK,WT,,11735,5057,45777737,0.73046875
DMPK,WT,,11735,5065,45777729,0.76171875
DMPK,WT,,11735,5294,45777500,1.390625
DMPK,WT,,11735,5297,45777497,1.03125
DMPK,WT,,11735,6047,45776747,0.76171875
DMPK,WT,,11735,6393,45776401,0.76953125
DMPK,WT,,11735,6989,45775805,0.76953125
DMPK,WT,,11735,8274,45774520,1.28125
DMPK,WT,,11735,8702,45774092,0.73828125
DMPK,WT,,11735,12460,45770334,0.69921875
DMPK,WT,,9170,110,45782684,2.328125
DMPK,WT,,9170,358,45782436,1.515625
DMPK,WT,,9170,370,45782424,1.515625
DMPK,WT,,9170,494,45782300,2.328125
DMPK,WT,,9170,503,45782291,3.015625
DMPK,WT,,9170,533,45782261,2.828125
DMPK,WT,,9170,551,45782243,2.609375
DMPK,WT,,9170,602,45782192,2.671875
DMPK,WT,,9170,635,45782159,1.46875
DMPK,WT,,9170,1110,45781684,1.046875
DMPK,WT,,9170,1671,45781123,0.8125
DMPK,WT,,9170,2048,45780746,0.890625
DMPK,WT,,9170,2425,45780369,0.9375
DMPK,WT,,9170,2624,45780170,0.921875
DMPK,WT,,9170,2679,45780115,1.8125
DMPK,WT,,9170,2712,45780082,1.421875
DMPK,WT,,9170,2739,45780055,3.609375
DMPK,WT,,9170,2742,45780052,2.390625
DMPK,WT,,9170,2958,45779836,1.546875
DMPK,WT,,9170,2997,45779797,2.765625
DMPK,WT,,9170,3003,45779791,2.03125
DMPK,WT,,9170,3300,45779494,3.015625
DMPK,WT,,9170,3351,45779443,3.578125
DMPK,WT,,9170,3475,45779319,3.296875
DMPK,WT,,9170,3938,45778856,1.09375
DMPK,WT,,9170,4178,45778616,2.125
DMPK,WT,,9170,4181,45778613,2.734375
DMPK,WT,,9170,4211,45778583,2.578125
DMPK,WT,,9170,4289,45778505,3.046875
DMPK,WT,,9170,4612,45778182,2.578125
DMPK,WT,,9170,4636,45778158,1.703125
DMPK,WT,,9170,4663,45778131,2.953125
DMPK,WT,,9170,4684,45778110,0.8125
DMPK,WT,,9170,4943,45777851,5.1875
DMPK,WT,,9170,4985,45777809,2.515625
DMPK,WT,,9170,4988,45777806,2.546875
DMPK,WT,,9170,4991,45777803,2.984375
DMPK,WT,,9170,4997,45777797,2.765625
DMPK,WT,,9170,5003,45777791,3.171875
DMPK,WT,,9170,5012,45777782,3.484375
DMPK,WT,,9170,5039,45777755,2.28125
DMPK,WT,,9170,5066,45777728,2.109375
DMPK,WT,,9170,5108,45777686,2.921875
DMPK,WT,,9170,5235,45777559,4.0625
DMPK,WT,,9170,5298,45777496,3.421875
DMPK,WT,,9170,5304,45777490,3.734375
DMPK,WT,,9170,5307,45777487,2.984375
DMPK,WT,,9170,5313,45777481,3.796875
DMPK,WT,,9170,5343,45777451,3.359375
DMPK,WT,,9170,5358,45777436,2.921875
DMPK,WT,,9170,5400,45777394,2.578125
DMPK,WT,,9170,5439,45777355,3.140625
DMPK,WT,,9170,5460,45777334,1.9375
DMPK,WT,,9170,5463,45777331,1.109375
DMPK,WT,,9170,5466,45777328,0.765625
DMPK,WT,,9170,5472,45777322,1.09375
DMPK,WT,,9170,5499,45777295,1.09375
DMPK,WT,,9170,7779,45775015,0.78125
DMPK,WT,,9170,7785,45775009,4.1875
DMPK,WT,,9170,7788,45775006,0.875
DMPK,WT,,9170,7797,45774997,4.4375
DMPK,WT,,9170,7818,45774976,4.3125
DMPK,WT,,9170,9446,45773348,1.25
DMPK,WT,,9170,9970,45772824,1.09375
DMPK,WT,,9170,10059,45772735,3.671875
DMPK,WT,,9170,10119,45772675,0.96875
DMPK,WT,,9170,10289,45772505,1.328125
DMPK,WT,,9170,10966,45771828,0.8125
DMPK,WT,,9170,11137,45771657,0.75
DMPK,WT,,9170,11158,45771636,0.890625
DMPK,WT,,9170,11218,45771576,3.109375
DMPK,WT,,9170,11227,45771567,3.453125
DMPK,WT,,9170,11407,45771387,4.75
DMPK,WT,,9170,11410,45771384,0.828125
DMPK,WT,,9170,11416,45771378,0.96875
DMPK,WT,,9170,11422,45771372,0.859375
DMPK,WT,,9170,11741,45771053,3.421875
DMPK,WT,,9170,11744,45771050,0.78125
DMPK,WT,,9170,11762,45771032,4.125
DMPK,WT,,9170,11780,45771014,3.953125
DMPK,WT,,9170,11786,45771008,3.171875
DMPK,WT,,9170,11801,45770993,0.875
DMPK,WT,,9170,11822,45770972,0.71875
DMPK,WT,,9170,12167,45770627,2.578125
DMPK,WT,,9170,12230,45770564,3.171875
DMPK,WT,,9170,12239,45770555,2.484375
DMPK,WT,,9170,12257,45770537,2.765625
DMPK,WT,,9170,12287,45770507,2.546875
DMPK,WT,,5026,2,45782792,1.234375
DMPK,WT,,5026,109,45782685,1.296875
DMPK,WT,,5026,112,45782682,2.375
DMPK,WT,,5026,118,45782676,2.328125
DMPK,WT,,5026,363,45782431,0.90625
DMPK,WT,,5026,454,45782340,0.90625
