gene,condition,protein_change,feature,array_offset,genomic_pos,activation
FMR1,WT,,11735,1,147911859,0.87109375
FMR1,WT,,11735,4924,147916782,1.21875
FMR1,WT,,11735,4928,147916786,1.015625
FMR1,WT,,11735,24666,147936524,0.76953125
FMR1,WT,,11735,27801,147939659,0.66796875
FMR1,WT,,11735,28620,147940478,0.71484375
FMR1,WT,,11735,29444,147941302,0.69921875
FMR1,WT,,11735,33151,147945009,0.66796875
FMR1,WT,,11735,33157,147945015,1.296875
FMR1,WT,,11735,33160,147945018,1.109375
FMR1,WT,,11735,33163,147945021,0.90234375
FMR1,WT,,11735,33166,147945024,1.09375
FMR1,WT,,11735,33172,147945030,1.265625
FMR1,WT,,11735,33177,147945035,0.70703125
FMR1,WT,,11735,33178,147945036,1.171875
FMR1,WT,,11735,33181,147945039,1.53125
FMR1,WT,,11735,33184,147945042,0.83984375
FMR1,WT,,11735,33190,147945048,0.73046875
FMR1,WT,,11735,33193,147945051,0.90234375
FMR1,WT,,11735,33723,147945581,0.83203125
FMR1,WT,,9170,347,147912205,0.703125
FMR1,WT,,9170,350,147912208,2.609375
FMR1,WT,,9170,359,147912217,3.265625
FMR1,WT,,9170,762,147912620,0.78125
FMR1,WT,,9170,883,147912741,1.28125
FMR1,WT,,9170,901,147912759,2.046875
FMR1,WT,,9170,907,147912765,1.9375
FMR1,WT,,9170,935,147912793,1.34375
FMR1,WT,,9170,1250,147913108,0.890625
FMR1,WT,,9170,2219,147914077,0.8125
FMR1,WT,,9170,4572,147916430,0.921875
FMR1,WT,,9170,10076,147921934,0.671875
FMR1,WT,,9170,10082,147921940,0.859375
FMR1,WT,,9170,10115,147921973,0.6875
FMR1,WT,,9170,13470,147925328,1.421875
FMR1,WT,,9170,13476,147925334,2.203125
FMR1,WT,,9170,13705,147925563,0.765625
FMR1,WT,,9170,13738,147925596,2.359375
FMR1,WT,,9170,14325,147926183,2.328125
FMR1,WT,,9170,16531,147928389,2.796875
FMR1,WT,,9170,16691,147928549,0.953125
