gene,condition,protein_change,feature,array_offset,genomic_pos,activation
NID1,WT,,11735,5828,236078087,1.203125
NID1,WT,,11735,6455,236077460,0.94921875
NID1,WT,,11735,16032,236067883,1.1875
NID1,WT,,11735,16307,236067608,0.84765625
NID1,WT,,11735,16782,236067133,0.86328125
NID1,WT,,11735,18916,236064999,1.234375
NID1,WT,,11735,23932,236059983,0.98046875
NID1,WT,,11735,23940,236059975,0.82421875
NID1,WT,,11735,24073,236059842,1.0
NID1,WT,,11735,45733,236038182,1.140625
NID1,WT,,11735,45774,236038141,0.91015625
NID1,WT,,11735,45775,236038140,1.21875
NID1,WT,,11735,45783,236038132,1.421875
NID1,WT,,11735,45784,236038131,2.59375
NID1,WT,,11735,45790,236038125,1.09375
NID1,WT,,11735,45804,236038111,0.80078125
NID1,WT,,11735,46997,236036918,1.421875
NID1,WT,,11735,48311,236035604,1.125
NID1,WT,,11735,59294,236024621,0.84765625
NID1,WT,,11735,59806,236024109,1.46875
NID1,WT,,11735,59814,236024101,1.15625
NID1,WT,,11735,59815,236024100,2.78125
NID1,WT,,11735,59823,236024092,1.078125
NID1,WT,,11735,59824,236024091,1.921875
NID1,WT,,11735,59830,236024085,0.90234375
NID1,WT,,11735,59839,236024076,0.86328125
NID1,WT,,11735,66653,236017262,2.8125
NID1,WT,,11735,66655,236017260,1.390625
NID1,WT,,11735,66692,236017223,1.546875
NID1,WT,,11735,66698,236017217,0.90234375
NID1,WT,,11735,66707,236017208,1.140625
NID1,WT,,11735,66719,236017196,1.84375
NID1,WT,,11735,66725,236017190,1.5625
NID1,WT,,11735,66733,236017182,1.265625
NID1,WT,,11735,66734,236017181,2.875
NID1,WT,,11735,70465,236013450,1.015625
NID1,WT,,11735,70474,236013441,2.890625
NID1,WT,,11735,70482,236013433,1.46875
NID1,WT,,11735,70483,236013432,1.96875
NID1,WT,,11735,70489,236013426,1.828125
NID1,WT,,11735,70498,236013417,0.91796875
NID1,WT,,11735,70503,236013412,0.98046875
NID1,WT,,11735,71879,236012036,3.09375
NID1,WT,,11735,71882,236012033,0.88671875
NID1,WT,,11735,71883,236012032,3.15625
NID1,WT,,11735,71885,236012030,0.83203125
NID1,WT,,11735,71916,236011999,1.1875
NID1,WT,,11735,71931,236011984,2.28125
NID1,WT,,11735,71943,236011972,1.703125
NID1,WT,,11735,71949,236011966,2.0
NID1,WT,,11735,71957,236011958,1.515625
NID1,WT,,11735,71958,236011957,3.15625
NID1,WT,,11735,71973,236011942,1.5
NID1,WT,,11735,71982,236011933,0.79296875
NID1,WT,,11735,72817,236011098,1.078125
NID1,WT,,11735,90209,235993706,1.0
NID1,WT,,11735,102161,235981754,1.203125
NID1,WT,,11735,102191,235981724,1.3125
NID1,WT,,11735,103277,235980638,0.88671875
NID1,WT,,11735,103283,235980632,1.109375
NID1,WT,,11735,103323,235980592,0.86328125
NID1,WT,,11735,105971,235977944,1.1875
NID1,WT,,11735,106004,235977911,1.328125
NID1,WT,,11735,106012,235977903,0.97265625
NID1,WT,,11735,106031,235977884,1.0625
NID1,WT,,9170,17001,236066914,2.671875
NID1,WT,,9170,18475,236065440,1.078125
NID1,WT,,9170,18906,236065009,2.359375
NID1,WT,,9170,18915,236065000,2.15625
NID1,WT,,9170,18948,236064967,2.859375
NID1,WT,,9170,18954,236064961,1.90625
NID1,WT,,9170,18960,236064955,3.734375
NID1,WT,,9170,18981,236064934,3.484375
NID1,WT,,9170,19017,236064898,3.421875
NID1,WT,,9170,19744,236064171,0.84375
NID1,WT,,9170,19749,236064166,1.375
NID1,WT,,9170,19755,236064160,1.109375
NID1,WT,,9170,23040,236060875,1.265625
NID1,WT,,9170,25238,236058677,1.046875
NID1,WT,,9170,25524,236058391,1.171875
NID1,WT,,9170,27036,236056879,1.53125
NID1,WT,,9170,27048,236056867,3.203125
NID1,WT,,9170,27057,236056858,1.984375
NID1,WT,,9170,29389,236054526,2.484375
NID1,WT,,9170,29401,236054514,0.984375
NID1,WT,,9170,31775,236052140,2.21875
NID1,WT,,9170,32609,236051306,1.171875
NID1,WT,,9170,34777,236049138,2.0625
NID1,WT,,9170,34939,236048976,3.953125
NID1,WT,,9170,34984,236048931,4.0625
NID1,WT,,9170,35005,236048910,4.0625
NID1,WT,,9170,35047,236048868,3.390625
NID1,WT,,9170,35053,236048862,4.8125
NID1,WT,,9170,35068,236048847,1.125
NID1,WT,,9170,35101,236048814,0.828125
NID1,WT,,9170,35122,236048793,4.6875
NID1,WT,,9170,35194,236048721,4.5
NID1,WT,,9170,35200,236048715,1.078125
NID1,WT,,9170,35221,236048694,4.3125
NID1,WT,,9170,35242,236048673,0.8125
NID1,WT,,9170,35254,236048661,0.828125
NID1,WT,,9170,35537,236048378,1.8125
NID1,WT,,9170,36567,236047348,3.390625
NID1,WT,,9170,36591,236047324,1.90625
NID1,WT,,9170,37984,236045931,1.0
NID1,WT,,9170,38305,236045610,2.796875
NID1,WT,,9170,38377,236045538,3.546875
NID1,WT,,9170,38386,236045529,3.640625
NID1,WT,,9170,38407,236045508,3.765625
NID1,WT,,9170,39112,236044803,1.546875
NID1,WT,,9170,39145,236044770,2.578125
NID1,WT,,9170,39172,236044743,2.125
NID1,WT,,9170,41628,236042287,1.15625
NID1,WT,,9170,41637,236042278,3.203125
NID1,WT,,9170,41646,236042269,3.328125
NID1,WT,,9170,41667,236042248,2.703125
NID1,WT,,9170,41688,236042227,3.203125
NID1,WT,,9170,41715,236042200,3.078125
NID1,WT,,9170,41727,236042188,3.203125
NID1,WT,,9170,41781,236042134,3.171875
NID1,WT,,9170,41796,236042119,2.734375
NID1,WT,,9170,41832,236042083,3.109375
NID1,WT,,9170,41835,236042080,2.796875
NID1,WT,,9170,41901,236042014,2.515625
NID1,WT,,9170,42000,236041915,2.828125
NID1,WT,,9170,42006,236041909,3.203125
NID1,WT,,9170,42030,236041885,0.953125
NID1,WT,,9170,42042,236041873,1.0625
NID1,WT,,9170,42470,236041445,1.53125
NID1,WT,,9170,42479,236041436,0.859375
NID1,WT,,9170,42491,236041424,3.484375
NID1,WT,,9170,43533,236040382,1.96875
NID1,WT,,9170,43785,236040130,2.203125
NID1,WT,,9170,44405,236039510,1.265625
NID1,WT,,9170,44482,236039433,1.3125
NID1,WT,,9170,45561,236038354,1.90625
NID1,WT,,9170,45585,236038330,0.796875
NID1,WT,,9170,45637,236038278,0.859375
NID1,WT,,9170,45752,236038163,4.625
NID1,WT,,9170,45776,236038139,3.453125
NID1,WT,,9170,45785,236038130,3.984375
NID1,WT,,9170,45791,236038124,3.234375
NID1,WT,,9170,45812,236038103,3.578125
NID1,WT,,9170,45911,236038004,1.765625
NID1,WT,,9170,45982,236037933,2.078125
NID1,WT,,9170,45997,236037918,2.953125
NID1,WT,,9170,46015,236037900,3.921875
NID1,WT,,9170,46054,236037861,1.140625
NID1,WT,,9170,46066,236037849,1.765625
NID1,WT,,9170,46090,236037825,1.625
NID1,WT,,9170,46106,236037809,1.125
NID1,WT,,9170,46810,236037105,1.625
NID1,WT,,9170,46840,236037075,1.75
NID1,WT,,9170,47636,236036279,1.390625
NID1,WT,,9170,47693,236036222,2.140625
NID1,WT,,9170,47723,236036192,2.078125
NID1,WT,,9170,48102,236035813,3.296875
NID1,WT,,9170,48180,236035735,2.546875
NID1,WT,,9170,48231,236035684,0.859375
NID1,WT,,9170,50439,236033476,0.84375
NID1,WT,,9170,50454,236033461,0.8125
NID1,WT,,9170,51052,236032863,2.484375
NID1,WT,,9170,51058,236032857,2.453125
NID1,WT,,9170,51064,236032851,2.578125
NID1,WT,,9170,51106,236032809,1.046875
NID1,WT,,9170,51182,236032733,2.296875
NID1,WT,,9170,51188,236032727,2.921875
NID1,WT,,9170,51224,236032691,3.171875
NID1,WT,,9170,51263,236032652,2.15625
NID1,WT,,9170,51284,236032631,4.875
NID1,WT,,9170,51296,236032619,5.0625
NID1,WT,,9170,51311,236032604,4.3125
NID1,WT,,9170,51377,236032538,3.765625
NID1,WT,,9170,51419,236032496,4.625
NID1,WT,,9170,51449,236032466,5.0
NID1,WT,,9170,51452,236032463,5.0625
NID1,WT,,9170,51461,236032454,4.1875
NID1,WT,,9170,51488,236032427,4.4375
NID1,WT,,9170,51500,236032415,4.1875
NID1,WT,,9170,51515,236032400,3.640625
NID1,WT,,9170,51950,236031965,2.21875
NID1,WT,,9170,51968,236031947,3.421875
NID1,WT,,9170,52251,236031664,1.078125
NID1,WT,,9170,52273,236031642,2.203125
NID1,WT,,9170,52357,236031558,2.109375
NID1,WT,,9170,52369,236031546,1.203125
NID1,WT,,9170,52381,236031534,1.828125
NID1,WT,,9170,52874,236031041,0.921875
NID1,WT,,9170,53069,236030846,1.34375
